individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,confidenceFactor,false,true,0.45,8,true,true,null,null,true,true,0.35,true,1,3,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,auc,MajorityVotingAggregator,false,false,null,5,6,null,true,null,null,false,6,null,null,0.0
overall,true,reducedErrorPruning,true,true,null,5,true,true,0,2,true,true,null,true,1,4,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,9,false,true,auc,CompetenceBasedAggregator,false,true,8,5,2,null,false,3,null,false,7,null,null,0.9370629370629371
gen_000_ind_000,true,null,false,null,null,1,null,true,2,4,false,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,acc,MajorityVotingAggregator,null,null,4,3,null,null,null,null,null,null,null,null,0.9286776433061263,null
gen_000_ind_001,false,unpruned,true,null,0.05,10,false,true,2,4,true,true,null,true,9,4,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,rmse,MajorityVotingAggregator,false,false,7,2,8,null,true,null,null,false,2,null,0.9519725114926352,null
gen_000_ind_002,false,confidenceFactor,false,true,null,8,false,true,0,3,true,true,0.15,true,2,4,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,RuleExtractorAggregator,false,true,7,9,8,null,false,null,null,false,2,null,0.9522250367451607,null
gen_000_ind_003,true,unpruned,false,null,null,9,true,true,2,8,true,true,null,true,5,9,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,true,9,3,10,2,true,null,null,false,7,null,0.9409763267348407,null
gen_000_ind_004,false,confidenceFactor,true,true,0.05,4,false,true,2,4,true,true,0.05,true,null,4,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,6,false,false,rmse,MajorityVotingAggregator,false,true,9,4,null,null,false,null,null,false,4,null,0.952366544704006,null
gen_000_ind_005,true,confidenceFactor,true,true,null,8,false,true,1,6,true,true,0.05,true,9,6,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,9,true,true,auc,CompetenceBasedAggregator,true,false,2,7,10,5,false,null,null,false,6,null,0.9315578384463834,null
gen_000_ind_006,false,confidenceFactor,true,false,0.05,1,true,true,1,9,true,true,0.25,true,9,2,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,2,false,true,rmse,RuleExtractorAggregator,false,false,8,4,3,null,true,null,null,false,4,null,0.8994683678894205,null
gen_000_ind_007,false,unpruned,true,null,null,7,false,true,null,null,true,true,null,true,null,5,false,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,8,true,true,auc,MajorityVotingAggregator,true,false,7,3,null,null,false,null,false,true,2,false,0.9398559902429872,null
gen_000_ind_008,true,unpruned,true,null,null,1,true,true,null,null,true,true,null,true,4,2,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,auc,MajorityVotingAggregator,true,true,7,4,6,7,true,null,true,false,7,true,0.9479422710072865,null
gen_000_ind_009,true,confidenceFactor,true,false,null,5,false,true,null,null,true,true,0.45,true,1,3,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,true,auc,CompetenceBasedAggregator,true,true,7,6,3,null,false,null,false,false,3,true,0.9421216812083685,null
gen_000_ind_010,true,confidenceFactor,false,true,null,1,true,true,1,4,true,true,0.45,true,null,10,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,CompetenceBasedAggregator,false,true,4,6,null,8,false,null,null,true,9,null,0.9241728429808924,null
gen_000_ind_011,false,reducedErrorPruning,false,false,0.35,10,true,true,1,2,true,true,null,true,9,7,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,RuleExtractorAggregator,true,false,9,2,6,null,true,7,null,false,9,null,0.9239031178659662,null
gen_000_ind_012,false,confidenceFactor,true,true,0.15,1,true,true,null,null,true,true,0.05,true,8,7,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,acc,CompetenceBasedAggregator,false,true,2,3,9,null,false,null,true,false,2,true,0.9367248334740594,null
gen_000_ind_013,true,unpruned,false,null,null,1,false,true,null,null,true,true,null,true,4,10,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,CompetenceBasedAggregator,true,false,2,2,6,3,true,null,true,false,5,true,0.9552529943396817,null
gen_000_ind_014,true,reducedErrorPruning,true,false,null,10,false,true,2,7,true,true,null,false,2,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,8,true,null,rmse,RuleExtractorAggregator,false,true,4,8,3,null,true,8,null,false,6,null,0.9185336335491133,null
gen_000_ind_015,true,unpruned,true,null,null,7,true,true,1,6,true,true,null,true,9,6,true,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,2,false,false,auc,RuleExtractorAggregator,false,false,10,9,2,null,false,null,null,true,10,null,0.8950276761422273,null
gen_000_ind_016,false,confidenceFactor,false,false,null,2,true,true,1,7,true,true,0.25,true,2,2,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,CompetenceBasedAggregator,true,false,10,5,5,null,true,null,null,false,2,null,0.9530553210119773,null
