gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.88702882,0.99838166,0.99950393,0.99969432,0.99724236,0328,0034,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_crossVal,DecisionTable_useIBk,SimpleCart,PART,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_search,JRip,PART_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,SimpleCart_heuristic,PART_pruning,J48,SimpleCart_useOneSE,JRip_minNo,J48_useLaplace,PART_numFolds,JRip_checkErrorRate,JRip_usePruning,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_direction,BestFirst_searchTermination,J48_minNumObj,J48_pruning,JRip_optimizations,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_collapseTree,JRip_folds,J48_binarySplits,J48_confidenceFactorValue,J48_subtreeRaising"
1,90,0.88883144,0.99853712,0.99966812,0.99806114,0.98873306,0285,0034,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,JRip,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48,SimpleCart_useOneSE,PART,Aggregator,J48_pruning,PART_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable,J48_subtreeRaising,DecisionTable_useIBk,J48_binarySplits,PART_useMDLcorrection,J48_useMDLcorrection,J48_useLaplace,J48_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,PART_minNumObj,PART_binarySplits,PART_pruning,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,J48_collapseTree,JRip_folds,DecisionTable_search,J48_minNumObj,DecisionTable_crossVal,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination"
2,90,0.91098865,0.99844192,0.99966812,0.99806114,0.98873306,0275,0034,0035,0.00000000,"DecisionTable,J48,DecisionTable_evaluationMeasure,J48_useLaplace,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_binarySplits,Aggregator,SimpleCart,DecisionTable_search,PART,PART_minNumObj,JRip,SimpleCart_heuristic,BestFirst_direction,SimpleCart_usePrune,SimpleCart_useOneSE,J48_useMDLcorrection,J48_collapseTree,DecisionTable_crossVal,PART_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_pruning,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,PART_pruning,J48_subtreeRaising,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,JRip_minNo,JRip_usePruning,JRip_optimizations,PART_numFolds,J48_numFolds,JRip_folds"
3,90,0.88663231,0.99867511,0.99966812,0.99806114,0.98873306,0290,0034,0035,0.00000000,"JRip,J48,J48_binarySplits,J48_collapseTree,JRip_usePruning,J48_pruning,J48_subtreeRaising,J48_minNumObj,Aggregator,JRip_optimizations,SimpleCart,PART,PART_minNumObj,J48_useMDLcorrection,DecisionTable,PART_pruning,JRip_minNo,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_useLaplace,SimpleCart_usePrune,J48_confidenceFactorValue,DecisionTable_useIBk,JRip_folds,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_numFolds,J48_numFolds,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_heuristic,DecisionTable_evaluationMeasure,DecisionTable_search,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards"
4,90,0.91383581,0.99881747,0.99966812,0.99806114,0.98873306,0305,0044,0073,0.49755333,"JRip,JRip_minNo,J48_subtreeRaising,J48_pruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,JRip_usePruning,JRip_folds,J48_numFolds,JRip_optimizations,J48,J48_minNumObj,J48_doNotMakeSplitPointActualValue,Aggregator,SimpleCart,J48_binarySplits,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,PART,PART_useMDLcorrection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_search,DecisionTable_useIBk,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,BestFirst_direction,J48_collapseTree,BestFirst_searchTermination,J48_useMDLcorrection,J48_useLaplace,PART_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE,PART_binarySplits"
5,90,0.91152140,0.99882183,0.99966812,0.99806114,0.98873306,0374,0118,0073,0.49755333,"JRip,JRip_minNo,J48_subtreeRaising,J48_pruning,J48_numFolds,DecisionTable_crossVal,J48_minNumObj,SimpleCart_heuristic,JRip_optimizations,Aggregator,J48,SimpleCart,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_useLaplace,J48_binarySplits,SimpleCart_useOneSE,JRip_checkErrorRate,J48_collapseTree,JRip_usePruning,JRip_folds,J48_useMDLcorrection,SimpleCart_numFoldsPruning,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_useMDLcorrection,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_confidenceFactorValue,PART_numFolds"
6,90,0.82289432,0.99892052,0.99966812,0.99806114,0.98873306,0328,0034,0073,0.49755333,"JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,JRip_optimizations,SimpleCart,J48,J48_binarySplits,SimpleCart_usePrune,Aggregator,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,J48_useMDLcorrection,J48_minNumObj,JRip_minNo,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,DecisionTable_useIBk,DecisionTable_search,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,J48_useLaplace,J48_numFolds,DecisionTable_crossVal,PART_pruning,PART_numFolds,PART_confidenceFactorValue,BestFirst_searchTermination,J48_collapseTree,SimpleCart_useOneSE,PART_binarySplits"
7,90,0.88603843,0.99880524,0.99969083,0.99945852,0.99286952,0354,0034,0062,0.24858529,"J48,DecisionTable,J48_useMDLcorrection,PART,J48_collapseTree,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable_crossVal,J48_pruning,DecisionTable_evaluationMeasure,PART_binarySplits,J48_numFolds,JRip,Aggregator,J48_confidenceFactorValue,JRip_usePruning,JRip_folds,JRip_optimizations,JRip_checkErrorRate,J48_subtreeRaising,JRip_minNo,SimpleCart,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_minNumObj,GreedyStepwise_searchBackwards,J48_useLaplace,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_heuristic,SimpleCart_numFoldsPruning"
8,90,0.88310044,0.99876594,0.99969083,0.99945852,0.99286952,0395,0034,0062,0.24858529,"PART,J48,DecisionTable,J48_useMDLcorrection,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,PART_pruning,PART_confidenceFactorValue,PART_numFolds,J48_collapseTree,J48_doNotMakeSplitPointActualValue,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,DecisionTable_useIBk,J48_minNumObj,DecisionTable_crossVal,J48_pruning,DecisionTable_evaluationMeasure,Aggregator,J48_confidenceFactorValue,JRip,J48_numFolds,PART_binarySplits,JRip_usePruning,JRip_folds,JRip_minNo,SimpleCart,JRip_checkErrorRate,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,SimpleCart_usePrune,J48_useLaplace,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_useOneSE,J48_subtreeRaising"
9,90,0.91650306,0.99900524,0.99969083,0.99945852,0.99286952,0414,0034,0062,0.24858529,"DecisionTable,J48,PART,J48_useMDLcorrection,PART_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_binarySplits,J48_useLaplace,DecisionTable_useIBk,J48_binarySplits,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_collapseTree,DecisionTable_evaluationMeasure,JRip,JRip_checkErrorRate,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_minNumObj,GreedyStepwise_searchBackwards,SimpleCart,DecisionTable_crossVal,Aggregator,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_minNumObj,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,JRip_usePruning,J48_numFolds,JRip_folds,JRip_optimizations"
