individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,null,null,true,null,null,5,null,false,null,null,false,true,null,true,null,8,true,unpruned,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,8,true,true,auc,CompetenceBasedAggregator,null,null,8,null,null,null,null,null,false,null,null,true,null,0.8894119455423803
overall,null,null,true,null,null,5,null,false,null,null,false,true,null,true,null,8,true,unpruned,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,8,true,true,auc,CompetenceBasedAggregator,null,null,8,null,null,null,null,null,false,null,null,true,null,0.8894119455423803
gen_000_ind_000,false,unpruned,true,null,0.15,1,false,true,2,8,true,true,null,true,9,7,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,8,false,true,auc,RuleExtractorAggregator,false,false,5,6,6,null,true,null,null,true,6,null,0.8840216600770973,null
gen_000_ind_001,true,confidenceFactor,false,true,0.35,2,true,true,1,4,true,true,0.15,true,3,8,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,RuleExtractorAggregator,true,false,3,5,6,null,false,null,null,true,8,null,0.8823991690895131,null
gen_000_ind_002,true,confidenceFactor,true,false,0.35,1,true,true,1,8,true,true,0.05,true,1,3,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,auc,RuleExtractorAggregator,false,false,2,10,9,null,true,null,null,true,7,null,0.8842857766065657,null
gen_000_ind_003,true,confidenceFactor,true,false,0.05,2,true,true,null,null,true,true,0.45,true,null,5,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,3,true,false,auc,CompetenceBasedAggregator,true,false,7,7,null,null,true,null,false,false,2,true,0.9364953570620873,null
gen_000_ind_004,true,null,true,null,null,1,null,true,1,6,false,true,null,true,4,3,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,5,true,false,auc,RuleExtractorAggregator,null,null,8,5,3,null,null,null,null,null,null,null,0.8925987572847113,null
gen_000_ind_005,true,confidenceFactor,false,false,0.15,1,true,true,null,null,true,true,0.15,true,6,5,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,acc,CompetenceBasedAggregator,false,true,2,7,3,null,true,null,false,true,4,false,0.9260569473942022,null
gen_000_ind_006,true,unpruned,true,null,null,4,false,true,null,null,true,true,null,true,null,4,false,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,9,true,true,auc,MajorityVotingAggregator,false,true,4,2,null,null,false,null,true,false,6,true,0.9248936848660845,null
gen_000_ind_007,true,reducedErrorPruning,true,true,null,1,false,true,2,1,true,true,null,true,6,8,false,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,7,true,false,auc,CompetenceBasedAggregator,false,false,10,5,9,7,false,9,null,true,9,null,0.9306647267764088,null
gen_000_ind_008,false,reducedErrorPruning,true,true,null,1,false,true,1,8,true,true,null,true,null,10,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,6,true,false,auc,MajorityVotingAggregator,false,true,5,4,null,6,true,9,null,false,2,null,0.930247419498787,null
gen_000_ind_009,true,unpruned,true,null,null,1,false,true,null,null,true,true,null,true,4,2,true,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,rmse,CompetenceBasedAggregator,true,false,8,3,6,8,true,null,false,false,2,false,0.9322869550963165,null
gen_000_ind_010,false,reducedErrorPruning,false,true,null,null,true,true,null,null,true,false,null,true,null,8,null,unpruned,null,false,true,null,false,true,null,true,true,null,RuleExtractorAggregator,true,true,6,9,null,null,false,3,null,false,3,null,0.8941943142069843,null
gen_000_ind_011,null,unpruned,true,null,null,1,false,false,1,5,true,true,null,true,null,3,false,unpruned,false,null,false,weka.attributeSelection.BestFirst,true,true,5,true,false,mae,MajorityVotingAggregator,false,true,2,null,null,null,false,null,null,true,7,null,0.9322475624323714,null
gen_000_ind_012,false,confidenceFactor,null,true,0.15,1,true,true,1,8,true,true,0.45,true,7,4,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,false,null,null,true,mae,RuleExtractorAggregator,false,false,null,3,6,null,true,null,null,true,2,null,0.8819539935515491,null
gen_000_ind_013,false,unpruned,true,null,0.35,7,false,true,1,1,true,true,null,true,3,7,true,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,4,true,false,rmse,RuleExtractorAggregator,false,true,8,2,3,null,false,null,null,true,9,null,0.8861712822760774,null
gen_000_ind_014,true,confidenceFactor,true,true,null,1,false,true,1,1,true,true,0.15,true,6,7,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,3,false,true,rmse,MajorityVotingAggregator,false,true,10,7,8,4,true,null,null,false,10,null,0.9197890918234155,null
gen_000_ind_015,true,unpruned,true,null,0.15,2,false,true,null,null,true,true,null,true,null,4,true,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,3,false,false,rmse,CompetenceBasedAggregator,false,false,2,2,null,null,false,null,false,true,8,true,0.9321101159255367,null
gen_000_ind_016,true,confidenceFactor,false,false,0.35,7,true,true,null,null,true,true,0.45,true,7,5,null,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,rmse,MajorityVotingAggregator,true,true,7,8,8,null,false,null,true,false,6,true,0.9206931497726869,null
gen_000_ind_017,false,confidenceFactor,true,false,null,2,true,true,1,6,true,true,0.25,true,null,2,false,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,false,true,9,false,true,acc,CompetenceBasedAggregator,false,true,3,5,null,2,false,null,null,false,4,null,0.9321437839566451,null
gen_000_ind_018,true,confidenceFactor,null,true,0.05,6,true,true,null,null,true,true,0.45,true,null,8,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,mae,MajorityVotingAggregator,true,true,null,2,null,null,false,null,false,true,4,true,0.9272906657060951,null
gen_000_ind_019,false,reducedErrorPruning,true,false,null,4,false,true,0,2,true,true,null,false,9,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,5,false,null,mae,CompetenceBasedAggregator,true,true,2,6,3,null,false,3,null,false,5,null,0.9221224459692701,null
gen_000_ind_020,true,confidenceFactor,true,true,null,6,true,true,null,null,true,true,0.05,false,null,null,false,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,6,true,null,mae,MajorityVotingAggregator,true,true,9,6,null,null,true,null,false,false,8,true,0.9185386079304138,null
gen_000_ind_021,true,confidenceFactor,false,true,0.25,1,false,true,0,5,true,true,0.45,true,1,4,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,CompetenceBasedAggregator,true,false,2,4,3,null,false,null,null,true,9,null,0.9203875484935666,null
gen_000_ind_022,true,null,true,null,null,9,null,true,1,4,false,true,null,true,null,6,false,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,true,true,5,true,false,auc,RuleExtractorAggregator,null,null,10,10,null,4,null,null,null,null,null,null,0.8882494393990614,null
gen_000_ind_023,true,reducedErrorPruning,false,false,null,null,false,true,null,null,true,false,null,true,7,4,null,reducedErrorPruning,null,true,false,null,true,true,null,false,false,null,RuleExtractorAggregator,false,false,3,2,5,2,true,8,null,false,4,null,0.8824267725199864,null
gen_000_ind_024,false,unpruned,false,null,0.25,1,true,true,2,10,true,true,null,true,null,10,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,MajorityVotingAggregator,true,true,2,5,null,null,true,null,null,false,8,null,0.9270766687033655,null
