gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.87558781,0.92020664,0.93649536,0.94869989,0.93078129,0028,0034,0035,0.00000000,"Aggregator,J48,J48_minNumObj,JRip,J48_useLaplace,J48_useMDLcorrection,JRip_minNo,J48_doNotMakeSplitPointActualValue,PART,SimpleCart,J48_collapseTree,PART_useMDLcorrection,DecisionTable,J48_pruning,JRip_usePruning,PART_minNumObj,JRip_checkErrorRate,SimpleCart_usePrune,J48_binarySplits,SimpleCart_useOneSE,JRip_optimizations,J48_subtreeRaising,SimpleCart_minNumObj,DecisionTable_search,DecisionTable_crossVal,SimpleCart_numFoldsPruning,SimpleCart_heuristic,GreedyStepwise_searchBackwards,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_numFolds,BestFirst_direction,PART_numFolds,BestFirst_searchTermination,J48_confidenceFactorValue,JRip_folds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue"
1,90,0.85606489,0.92371609,0.93649536,0.94869989,0.93078129,0018,0034,0035,0.00000000,"JRip,J48,JRip_minNo,DecisionTable,Aggregator,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_binarySplits,JRip_folds,J48_useLaplace,JRip_optimizations,PART,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_checkErrorRate,DecisionTable_search,J48_useMDLcorrection,J48_collapseTree,DecisionTable_useIBk,SimpleCart,PART_useMDLcorrection,BestFirst_direction,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_pruning,J48_minNumObj,SimpleCart_usePrune,J48_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART_binarySplits,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,PART_minNumObj,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,SimpleCart_useOneSE"
2,90,0.86688701,0.92400722,0.93649536,0.94869989,0.93078129,0022,0034,0035,0.00000000,"DecisionTable,JRip,JRip_checkErrorRate,JRip_usePruning,DecisionTable_evaluationMeasure,J48,J48_minNumObj,JRip_minNo,J48_useLaplace,J48_binarySplits,J48_useMDLcorrection,DecisionTable_crossVal,J48_pruning,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART,Aggregator,DecisionTable_search,SimpleCart,JRip_folds,JRip_optimizations,SimpleCart_usePrune,PART_pruning,PART_numFolds,J48_collapseTree,PART_minNumObj,SimpleCart_useOneSE,J48_numFolds,SimpleCart_heuristic,PART_confidenceFactorValue,PART_binarySplits,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_useMDLcorrection,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,BestFirst_direction,BestFirst_searchTermination"
3,90,0.85157484,0.92539944,0.93649536,0.94869989,0.93078129,0024,0034,0035,0.00000000,"JRip,Aggregator,JRip_usePruning,J48,PART,JRip_folds,PART_binarySplits,J48_collapseTree,J48_useMDLcorrection,PART_minNumObj,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_pruning,JRip_optimizations,JRip_checkErrorRate,J48_subtreeRaising,SimpleCart_heuristic,J48_useLaplace,DecisionTable,J48_binarySplits,JRip_minNo,SimpleCart_minNumObj,DecisionTable_useIBk,PART_pruning,PART_useMDLcorrection,J48_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_minNumObj,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination"
4,90,0.87051398,0.92680085,0.93794834,0.94813379,0.91018105,0024,0148,0074,0.55188429,"SimpleCart,DecisionTable,DecisionTable_search,BestFirst_searchTermination,JRip,JRip_minNo,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_heuristic,BestFirst_direction,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,JRip_usePruning,JRip_folds,JRip_optimizations,Aggregator,PART_pruning,PART_minNumObj,PART_confidenceFactorValue,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_minNumObj,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_confidenceFactorValue,J48_numFolds,PART,PART_useMDLcorrection,PART_binarySplits,J48_subtreeRaising,J48_useLaplace,J48_binarySplits,PART_numFolds,J48,J48_pruning,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue"
5,90,0.87862026,0.92786210,0.93794834,0.94813379,0.91018105,0021,0236,0074,0.55188429,"DecisionTable,SimpleCart,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable_crossVal,JRip_minNo,JRip_optimizations,Aggregator,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_useOneSE,J48_numFolds,PART,PART_binarySplits,PART_useMDLcorrection,PART_pruning,J48_useLaplace,J48_subtreeRaising,J48_minNumObj,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_binarySplits,PART_numFolds,J48,J48_collapseTree,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,J48_pruning,SimpleCart_numFoldsPruning,DecisionTable_search,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,JRip_folds,JRip,J48_useMDLcorrection"
6,90,0.87407301,0.92739159,0.93794834,0.94813379,0.91018105,0026,0143,0074,0.55188429,"DecisionTable,SimpleCart,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,DecisionTable_crossVal,BestFirst_direction,J48_confidenceFactorValue,JRip_minNo,SimpleCart_heuristic,JRip_optimizations,Aggregator,J48_binarySplits,GreedyStepwise_searchBackwards,PART_minNumObj,J48_numFolds,PART,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk,PART_binarySplits,J48,J48_collapseTree,SimpleCart_usePrune,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_useOneSE,JRip_checkErrorRate,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_numFoldsPruning,DecisionTable_search,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_useMDLcorrection,BestFirst_searchTermination,JRip_folds,JRip"
7,90,0.87097391,0.92768861,0.93932000,0.94888903,0.92625209,0026,0034,0067,0.55828651,"SimpleCart,DecisionTable,PART,SimpleCart_usePrune,SimpleCart_useOneSE,PART_useMDLcorrection,SimpleCart_minNumObj,J48,J48_binarySplits,J48_collapseTree,Aggregator,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_useMDLcorrection,DecisionTable_crossVal,SimpleCart_numFoldsPruning,PART_minNumObj,PART_pruning,J48_useLaplace,PART_binarySplits,PART_numFolds,JRip,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_folds,JRip_optimizations,JRip_minNo,PART_confidenceFactorValue"
8,90,0.87731574,0.92846391,0.93932000,0.94888903,0.92625209,0022,0103,0067,0.55828651,"DecisionTable,PART,SimpleCart,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_usePrune,GreedyStepwise_searchBackwards,PART_pruning,JRip,JRip_minNo,PART_useMDLcorrection,PART_numFolds,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,PART_minNumObj,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_minNumObj,J48,J48_minNumObj,J48_binarySplits,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_useLaplace,J48_pruning,JRip_optimizations,JRip_folds,J48_useMDLcorrection,JRip_checkErrorRate,PART_confidenceFactorValue,JRip_usePruning,J48_collapseTree,Aggregator"
9,90,0.88056807,0.92813933,0.93932000,0.94888903,0.92625209,0019,0034,0067,0.55828651,"PART,SimpleCart,DecisionTable,PART_useMDLcorrection,PART_binarySplits,PART_minNumObj,DecisionTable_useIBk,DecisionTable_crossVal,PART_pruning,SimpleCart_minNumObj,J48,PART_numFolds,J48_pruning,J48_useLaplace,SimpleCart_usePrune,JRip,J48_numFolds,J48_minNumObj,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_subtreeRaising,J48_binarySplits,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,JRip_minNo,GreedyStepwise_searchBackwards,JRip_optimizations,JRip_folds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,J48_collapseTree,DecisionTable_search,JRip_usePruning,Aggregator,JRip_checkErrorRate,J48_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue"
