individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,true,null,null,8,false,true,null,null,true,true,null,true,1,2,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,acc,CompetenceBasedAggregator,false,true,10,7,7,2,false,null,true,false,8,false,null,0.8159965034965035
overall,null,confidenceFactor,true,false,null,7,false,false,2,3,true,true,0.05,true,null,2,false,reducedErrorPruning,true,null,true,weka.attributeSelection.BestFirst,true,true,9,false,true,auc,CompetenceBasedAggregator,true,false,3,null,null,9,false,null,null,false,2,null,null,0.8159965034965035
gen_000_ind_000,true,confidenceFactor,false,true,null,8,false,true,0,5,true,true,0.25,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,MajorityVotingAggregator,true,true,7,3,null,null,false,null,null,true,10,null,0.9115969738086427,null
gen_000_ind_001,false,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,null,2,true,reducedErrorPruning,null,false,true,null,false,true,9,false,false,null,RuleExtractorAggregator,true,false,9,9,null,3,true,null,null,true,2,null,0.905096125041851,null
gen_000_ind_002,true,confidenceFactor,false,false,null,7,false,true,0,5,true,true,0.25,true,null,9,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,RuleExtractorAggregator,false,true,9,10,null,10,false,null,null,false,4,null,0.9004602136895217,null
gen_000_ind_003,false,unpruned,true,null,null,7,false,true,0,9,true,true,null,true,4,7,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,4,true,true,auc,MajorityVotingAggregator,false,true,7,6,6,null,false,null,null,true,5,null,0.916138610371989,null
gen_000_ind_004,true,reducedErrorPruning,true,true,0.05,8,false,true,1,8,true,true,null,true,10,3,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,5,true,false,mae,RuleExtractorAggregator,true,false,5,2,10,null,false,6,null,true,5,null,0.9118950701040254,null
gen_000_ind_005,false,confidenceFactor,true,true,0.35,6,false,true,0,7,true,true,0.25,true,null,9,true,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,8,false,false,auc,MajorityVotingAggregator,false,false,8,5,null,null,true,null,null,false,9,null,0.9128084489007147,null
gen_000_ind_006,true,reducedErrorPruning,true,true,null,1,true,true,1,5,true,true,null,true,null,5,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,2,false,true,rmse,CompetenceBasedAggregator,false,true,8,2,null,6,false,7,null,false,3,null,0.9066805876168156,null
gen_000_ind_007,true,confidenceFactor,false,false,null,3,false,true,null,null,true,true,0.15,true,null,7,null,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,3,4,null,7,false,null,true,false,2,false,0.9034937473200703,null
gen_000_ind_008,true,reducedErrorPruning,false,true,null,null,true,true,null,null,true,false,null,true,3,9,null,reducedErrorPruning,null,true,true,null,true,true,null,true,true,null,CompetenceBasedAggregator,false,true,6,6,8,4,false,3,null,true,6,null,0.9005480272780136,null
gen_000_ind_009,false,reducedErrorPruning,true,false,null,null,true,true,null,null,true,false,null,true,3,9,false,unpruned,null,true,true,null,false,true,6,true,false,null,RuleExtractorAggregator,false,true,3,6,9,null,true,4,null,false,5,null,0.8872990419801818,null
gen_000_ind_010,true,reducedErrorPruning,false,true,null,5,true,true,2,9,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,MajorityVotingAggregator,false,true,5,10,null,null,true,7,null,false,3,null,0.9077093869495497,null
gen_000_ind_011,null,reducedErrorPruning,true,true,0.25,8,false,false,1,6,true,true,null,true,null,10,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,5,true,false,rmse,MajorityVotingAggregator,false,true,4,null,null,null,true,3,null,true,4,null,0.9093763766762409,null
gen_000_ind_012,true,reducedErrorPruning,false,true,0.45,9,false,true,null,null,true,true,null,true,null,7,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,true,false,2,4,null,null,true,5,true,true,10,false,0.9117444066562113,null
gen_000_ind_013,false,unpruned,true,null,null,1,false,true,1,4,true,true,null,false,8,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,2,false,null,acc,RuleExtractorAggregator,false,true,10,6,6,null,true,null,null,false,5,null,0.8929775561390215,null
gen_000_ind_014,false,reducedErrorPruning,true,true,null,2,false,true,1,2,true,true,null,true,null,2,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,8,true,true,auc,CompetenceBasedAggregator,false,true,4,8,null,null,true,8,null,false,7,null,0.9093217501629984,null
gen_000_ind_015,true,unpruned,true,null,0.05,8,true,true,2,9,true,true,null,true,9,3,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,auc,CompetenceBasedAggregator,false,true,10,2,6,null,false,null,null,false,2,null,0.9094415760630143,null
gen_000_ind_016,false,unpruned,false,null,null,1,false,true,0,10,true,true,null,false,2,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,false,null,mae,RuleExtractorAggregator,false,false,8,10,8,null,false,null,null,false,6,null,0.8932371789223893,null
gen_000_ind_017,false,unpruned,false,null,null,7,true,true,null,null,true,true,null,true,null,9,null,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,acc,MajorityVotingAggregator,false,true,2,10,null,2,false,null,true,false,9,false,0.9064127414873683,null
gen_000_ind_018,true,confidenceFactor,false,true,0.25,1,true,true,1,6,true,true,0.45,true,7,8,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,false,false,8,9,5,null,false,null,null,true,9,null,0.9093816631130064,null
gen_000_ind_019,true,unpruned,false,null,0.45,4,false,true,0,9,true,true,null,true,null,7,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,CompetenceBasedAggregator,true,true,10,5,null,null,true,null,null,false,10,null,0.9146399055489965,null
gen_000_ind_020,false,reducedErrorPruning,true,true,0.45,4,true,true,1,5,true,true,null,true,null,3,true,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,2,true,true,rmse,RuleExtractorAggregator,true,false,5,4,null,null,false,10,null,false,4,null,0.8639594236609163,null
gen_000_ind_021,true,null,true,null,null,2,null,true,0,3,false,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,3,true,null,rmse,CompetenceBasedAggregator,null,null,9,3,null,null,null,null,null,null,null,null,0.9055128724735237,null
gen_000_ind_022,true,confidenceFactor,true,false,0.05,1,false,true,1,6,true,true,0.35,true,null,9,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,9,true,false,mae,RuleExtractorAggregator,true,false,5,10,null,null,false,null,null,false,4,null,0.9077784043184314,null
gen_000_ind_023,true,unpruned,null,null,null,2,false,true,1,3,true,true,null,true,3,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,10,8,8,true,null,null,true,5,null,0.9134472266765347,null
gen_000_ind_024,false,reducedErrorPruning,true,true,0.35,7,false,true,null,null,true,true,null,true,7,7,true,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,8,true,false,rmse,RuleExtractorAggregator,false,true,8,2,3,null,true,6,true,false,9,false,0.9036079930923894,null
