gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.84705882,1.00000000,1.00000000,1.00000000,1.00000000,0008,0034,0035,0.00000000,"PART,J48,SimpleCart,SimpleCart_usePrune,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_pruning,JRip,PART_binarySplits,SimpleCart_heuristic,JRip_usePruning,JRip_folds,DecisionTable,Aggregator,SimpleCart_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,PART_pruning,J48_useLaplace,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_collapseTree,J48_numFolds,JRip_minNo,J48_confidenceFactorValue,JRip_optimizations,DecisionTable_search,SimpleCart_useOneSE,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_binarySplits,J48_subtreeRaising,BestFirst_searchTermination,DecisionTable_evaluationMeasure,JRip_checkErrorRate,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal"
1,90,0.88392157,1.00000000,1.00000000,1.00000000,1.00000000,0007,0034,0035,0.00000000,"J48,JRip,SimpleCart,J48_useLaplace,J48_collapseTree,JRip_minNo,J48_binarySplits,SimpleCart_heuristic,SimpleCart_minNumObj,J48_pruning,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,JRip_checkErrorRate,DecisionTable,DecisionTable_evaluationMeasure,PART,J48_subtreeRaising,J48_useMDLcorrection,PART_useMDLcorrection,J48_numFolds,Aggregator,SimpleCart_useOneSE,DecisionTable_crossVal,J48_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_pruning,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_usePruning,J48_confidenceFactorValue,DecisionTable_search,PART_numFolds,PART_minNumObj,BestFirst_direction,JRip_optimizations,BestFirst_searchTermination,PART_confidenceFactorValue,JRip_folds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards"
2,90,0.84274510,1.00000000,1.00000000,1.00000000,0.98343685,0007,0034,0035,0.00000000,"JRip,Aggregator,J48,J48_binarySplits,DecisionTable,JRip_minNo,J48_useMDLcorrection,SimpleCart,SimpleCart_heuristic,J48_pruning,PART,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_useMDLcorrection,J48_minNumObj,SimpleCart_minNumObj,JRip_usePruning,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_collapseTree,DecisionTable_evaluationMeasure,DecisionTable_useIBk,JRip_folds,J48_subtreeRaising,DecisionTable_search,J48_numFolds,J48_confidenceFactorValue,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,PART_pruning,BestFirst_direction,SimpleCart_usePrune,GreedyStepwise_searchBackwards,PART_binarySplits,PART_minNumObj,BestFirst_searchTermination,JRip_optimizations,SimpleCart_useOneSE,PART_numFolds,PART_confidenceFactorValue,SimpleCart_numFoldsPruning"
3,90,0.89039216,1.00000000,1.00000000,1.00000000,1.00000000,0006,0034,0035,0.00000000,"PART,PART_minNumObj,Aggregator,SimpleCart,SimpleCart_heuristic,PART_binarySplits,PART_useMDLcorrection,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,JRip,PART_pruning,DecisionTable,SimpleCart_useOneSE,J48,JRip_checkErrorRate,DecisionTable_useIBk,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_numFoldsPruning,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_binarySplits,J48_useLaplace,J48_minNumObj,J48_confidenceFactorValue,PART_confidenceFactorValue,DecisionTable_search,J48_useMDLcorrection,JRip_usePruning,JRip_minNo,BestFirst_direction,J48_numFolds,PART_numFolds,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,JRip_optimizations,J48_subtreeRaising,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_searchTermination"
4,90,0.83568627,1.00000000,1.00000000,1.00000000,0.98343685,0009,0110,0072,0.54057832,"Aggregator,J48,J48_minNumObj,JRip,JRip_checkErrorRate,J48_useLaplace,JRip_minNo,DecisionTable,SimpleCart,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_collapseTree,SimpleCart_minNumObj,JRip_usePruning,DecisionTable_search,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_heuristic,DecisionTable_useIBk,PART_confidenceFactorValue,PART_useMDLcorrection,J48_numFolds,J48_useMDLcorrection,J48_binarySplits,J48_subtreeRaising,BestFirst_direction,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_folds,PART_pruning,PART_numFolds,PART_binarySplits,GreedyStepwise_searchBackwards,PART,J48_pruning,PART_minNumObj,BestFirst_searchTermination,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue"
5,90,0.84274510,1.00000000,1.00000000,1.00000000,1.00000000,0008,0068,0072,0.54057832,"Aggregator,J48,J48_useMDLcorrection,J48_useLaplace,J48_minNumObj,JRip,JRip_minNo,SimpleCart,SimpleCart_minNumObj,JRip_usePruning,DecisionTable,SimpleCart_usePrune,DecisionTable_search,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_numFoldsPruning,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_optimizations,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_useMDLcorrection,PART_binarySplits,J48_numFolds,J48_binarySplits,JRip_checkErrorRate,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_useOneSE,JRip_folds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_pruning,J48_confidenceFactorValue"
6,90,0.85254902,1.00000000,1.00000000,1.00000000,1.00000000,0008,0034,0072,0.54057832,"Aggregator,J48,J48_useMDLcorrection,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_minNumObj,JRip,JRip_minNo,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart,SimpleCart_usePrune,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_useLaplace,JRip_usePruning,JRip_optimizations,JRip_folds,SimpleCart_useOneSE,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART,PART_pruning,PART_numFolds,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_binarySplits,PART_minNumObj,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate"
7,90,0.85960784,1.00000000,1.00000000,1.00000000,1.00000000,0007,0034,0054,0.57410899,"PART,PART_binarySplits,PART_pruning,PART_minNumObj,DecisionTable,PART_doNotMakeSplitPointActualValue,SimpleCart,Aggregator,J48,PART_useMDLcorrection,PART_numFolds,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_binarySplits,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_collapseTree,DecisionTable_useIBk,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_minNumObj,J48_useLaplace,DecisionTable_evaluationMeasure,J48_pruning,J48_confidenceFactorValue,JRip,J48_subtreeRaising,JRip_checkErrorRate,J48_numFolds,JRip_minNo,JRip_usePruning,JRip_folds,JRip_optimizations"
8,90,0.83568627,1.00000000,1.00000000,1.00000000,1.00000000,0006,0034,0054,0.57410899,"PART,Aggregator,J48,PART_binarySplits,SimpleCart,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_minNumObj,J48_pruning,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_confidenceFactorValue,JRip,DecisionTable_evaluationMeasure,J48_subtreeRaising,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_useOneSE,JRip_minNo,JRip_usePruning,J48_useLaplace,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_optimizations,J48_numFolds,JRip_folds,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_binarySplits,DecisionTable_search,SimpleCart_minNumObj"
9,90,0.86823529,1.00000000,1.00000000,1.00000000,1.00000000,0006,0068,0054,0.57410899,"PART,PART_binarySplits,PART_useMDLcorrection,DecisionTable,PART_minNumObj,J48,Aggregator,PART_doNotMakeSplitPointActualValue,SimpleCart,PART_pruning,PART_confidenceFactorValue,PART_numFolds,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,BestFirst_searchTermination,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip_folds,BestFirst_direction,JRip_optimizations,J48_subtreeRaising,SimpleCart_useOneSE,DecisionTable_crossVal,J48_minNumObj,DecisionTable_search,J48_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,J48_useMDLcorrection,DecisionTable_useIBk,J48_useLaplace,DecisionTable_evaluationMeasure,SimpleCart_usePrune,J48_pruning,J48_collapseTree,J48_doNotMakeSplitPointActualValue,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,J48_numFolds"
