individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,null,true,null,10,true,true,2,6,true,true,0.45,false,9,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,auc,CompetenceBasedAggregator,false,true,null,2,2,null,false,null,null,true,7,null,null,0.0
overall,false,reducedErrorPruning,null,false,null,1,true,true,null,null,true,true,null,false,6,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,auc,CompetenceBasedAggregator,false,true,null,5,6,null,true,3,false,false,5,true,null,0.0
gen_000_ind_000,false,unpruned,null,null,null,5,false,true,0,4,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.BestFirst,null,false,null,null,null,acc,MajorityVotingAggregator,false,false,null,4,null,null,false,null,null,false,2,null,0.9739234222567555,null
gen_000_ind_001,true,reducedErrorPruning,true,true,0.45,1,true,true,null,null,true,true,null,true,null,2,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,9,false,false,acc,RuleExtractorAggregator,false,true,10,3,null,null,false,3,false,false,5,false,0.9540684624017957,null
gen_000_ind_002,false,confidenceFactor,true,true,0.35,8,true,true,2,9,true,true,0.05,true,null,4,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,9,false,false,rmse,MajorityVotingAggregator,true,true,2,6,null,null,true,null,null,false,9,null,0.9706060606060605,null
gen_000_ind_003,true,null,false,null,0.05,10,null,true,2,3,false,true,null,true,null,3,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,RuleExtractorAggregator,null,null,5,4,null,null,null,null,null,null,null,null,0.9502749719416386,null
gen_000_ind_004,false,unpruned,true,null,0.05,3,false,true,null,null,true,true,null,true,null,9,true,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,acc,RuleExtractorAggregator,false,true,4,7,null,null,true,null,false,false,2,false,0.9336799620132954,null
gen_000_ind_005,true,confidenceFactor,false,false,0.45,10,true,true,2,5,true,true,0.05,true,2,10,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,false,false,2,3,4,null,true,null,null,true,6,null,0.9500764050764051,null
gen_000_ind_006,false,confidenceFactor,true,true,0.45,4,true,true,0,10,true,true,0.45,true,7,8,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,5,false,false,auc,CompetenceBasedAggregator,false,false,2,2,7,null,true,null,null,true,2,null,0.9720547353880689,null
gen_000_ind_007,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.45,true,3,4,null,unpruned,null,true,true,null,false,true,null,true,true,null,RuleExtractorAggregator,false,false,2,7,4,null,true,null,null,false,10,null,0.9552788569455236,null
gen_000_ind_008,true,reducedErrorPruning,false,true,null,9,false,true,1,1,true,true,null,true,null,6,null,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,true,true,null,false,false,rmse,CompetenceBasedAggregator,false,true,10,4,null,9,true,3,null,false,10,null,0.9822122938789605,null
gen_000_ind_009,null,unpruned,null,null,0.35,1,true,false,1,5,true,true,null,true,null,6,null,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,false,null,null,null,null,false,null,null,true,7,null,0.9707416040749374,null
gen_000_ind_010,true,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.05,true,4,10,true,reducedErrorPruning,null,true,true,null,false,true,4,false,true,null,MajorityVotingAggregator,true,true,8,8,3,5,true,null,null,false,9,null,0.9195855995855997,null
gen_000_ind_011,true,confidenceFactor,true,false,null,4,false,true,1,7,true,true,0.05,true,10,3,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,6,true,false,auc,RuleExtractorAggregator,false,true,8,4,4,4,true,null,null,false,6,null,0.9500587067253734,null
gen_000_ind_012,null,confidenceFactor,true,false,null,7,false,false,0,8,true,true,0.15,true,null,4,false,unpruned,true,null,true,weka.attributeSelection.BestFirst,true,true,10,true,false,mae,MajorityVotingAggregator,true,false,9,null,null,null,true,null,null,true,9,null,0.9617957351290685,null
gen_000_ind_013,false,null,false,null,0.05,8,null,true,null,null,false,true,null,true,2,8,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,null,null,4,3,8,null,null,null,true,null,null,true,0.9733005266338599,null
gen_000_ind_014,true,confidenceFactor,null,true,null,4,false,true,null,null,true,true,0.15,true,6,9,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,rmse,RuleExtractorAggregator,false,true,null,3,3,null,true,null,false,false,2,false,0.9759237675904343,null
gen_000_ind_015,true,confidenceFactor,true,true,null,10,false,true,1,4,true,true,0.35,false,2,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,9,false,null,acc,CompetenceBasedAggregator,false,true,3,3,6,null,true,null,null,true,2,null,0.9867629284295951,null
gen_000_ind_016,null,unpruned,true,null,null,6,false,false,0,5,true,true,null,true,null,10,true,unpruned,false,null,true,weka.attributeSelection.BestFirst,true,true,7,false,false,mae,CompetenceBasedAggregator,true,false,9,null,null,null,false,null,null,true,3,null,0.9799551066217734,null
gen_000_ind_017,true,confidenceFactor,false,false,0.15,1,false,true,null,null,true,true,0.45,true,2,2,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,RuleExtractorAggregator,true,true,5,6,6,null,true,null,true,true,8,false,0.9517845117845118,null
gen_000_ind_018,true,confidenceFactor,null,true,0.05,null,false,true,null,null,true,false,0.25,true,10,6,null,confidenceFactor,null,true,false,null,false,false,null,null,true,null,RuleExtractorAggregator,true,true,null,6,3,null,true,null,null,false,2,null,0.9315129931796597,null
