individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,unpruned,false,null,null,4,false,true,1,8,true,true,null,true,null,2,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,CompetenceBasedAggregator,true,true,8,2,null,null,false,null,null,true,2,null,null,0.9131134551577279
overall,false,unpruned,false,null,null,4,false,true,1,8,true,true,null,true,null,2,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,CompetenceBasedAggregator,true,true,8,2,null,null,false,null,null,true,2,null,null,0.9131134551577279
gen_000_ind_000,true,unpruned,false,null,null,null,true,true,null,null,true,false,null,true,2,2,null,unpruned,null,true,true,null,true,true,null,true,false,null,CompetenceBasedAggregator,false,true,10,7,3,null,true,null,null,true,3,null,0.929080818598455,null
gen_000_ind_001,true,reducedErrorPruning,true,false,null,4,true,true,null,null,true,true,null,true,2,5,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,6,true,false,auc,CompetenceBasedAggregator,false,true,8,10,2,9,false,5,true,false,4,true,0.9230308680787799,null
gen_000_ind_002,false,unpruned,false,null,null,4,true,true,1,7,true,true,null,true,1,10,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,CompetenceBasedAggregator,false,true,10,10,3,8,false,null,null,true,4,null,0.9331979251887794,null
gen_000_ind_003,true,unpruned,false,null,null,7,false,true,null,null,true,true,null,true,2,4,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,true,false,2,7,2,null,false,null,false,true,6,false,0.8172273527140532,null
gen_000_ind_004,false,reducedErrorPruning,false,false,null,5,true,true,1,4,true,true,null,true,2,6,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,RuleExtractorAggregator,false,true,8,2,3,7,true,7,null,true,3,null,0.8418201450596495,null
gen_000_ind_005,false,confidenceFactor,false,false,0.15,6,true,true,1,8,true,true,0.35,true,1,7,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,RuleExtractorAggregator,false,true,3,6,3,null,false,null,null,false,4,null,0.7925911862441396,null
gen_000_ind_006,false,reducedErrorPruning,false,true,0.25,4,false,true,2,5,true,true,null,true,3,3,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,CompetenceBasedAggregator,false,true,8,2,10,null,true,8,null,true,5,null,0.9261264635448887,null
gen_000_ind_007,true,confidenceFactor,false,true,null,1,false,true,1,4,true,true,0.15,true,2,5,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,true,true,6,3,5,8,true,null,null,true,10,null,0.927634827136022,null
gen_000_ind_008,true,confidenceFactor,true,false,0.35,7,false,true,1,9,true,true,0.15,true,7,9,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,6,true,false,mae,CompetenceBasedAggregator,false,false,9,9,7,null,true,null,null,false,7,null,0.924965136248044,null
