gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.66867653,0.92494570,0.93879923,0.93532125,0.94682976,0229,0034,0035,0.00000000,"Aggregator,PART,PART_useMDLcorrection,PART_binarySplits,J48,JRip,SimpleCart,SimpleCart_heuristic,DecisionTable,DecisionTable_useIBk,J48_collapseTree,JRip_checkErrorRate,J48_minNumObj,J48_useLaplace,JRip_usePruning,PART_pruning,PART_minNumObj,DecisionTable_search,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_optimizations,DecisionTable_evaluationMeasure,J48_pruning,BestFirst_direction,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_binarySplits,JRip_folds,J48_confidenceFactorValue,SimpleCart_useOneSE,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,J48_subtreeRaising,PART_numFolds,BestFirst_searchTermination,J48_numFolds"
1,90,0.55853079,0.92507131,0.93879923,0.93532125,0.94682976,0224,0034,0035,0.00000000,"DecisionTable,Aggregator,JRip,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_search,PART,BestFirst_searchTermination,PART_useMDLcorrection,PART_pruning,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,PART_binarySplits,PART_minNumObj,J48,JRip_usePruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,JRip_minNo,GreedyStepwise_searchBackwards,J48_binarySplits,J48_minNumObj,DecisionTable_crossVal,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,BestFirst_direction,J48_useLaplace,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_pruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
2,90,0.66035627,0.92725810,0.93879923,0.93532125,0.94682976,0213,0034,0035,0.00000000,"J48,J48_pruning,J48_useLaplace,J48_doNotMakeSplitPointActualValue,JRip,J48_collapseTree,JRip_usePruning,J48_numFolds,Aggregator,J48_subtreeRaising,JRip_checkErrorRate,PART,J48_useMDLcorrection,J48_minNumObj,J48_binarySplits,SimpleCart,JRip_optimizations,DecisionTable,PART_pruning,DecisionTable_crossVal,JRip_folds,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_minNo,PART_minNumObj,SimpleCart_minNumObj,SimpleCart_heuristic,PART_binarySplits,SimpleCart_usePrune,DecisionTable_search,SimpleCart_numFoldsPruning,PART_useMDLcorrection,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_numFolds,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE"
3,90,0.67003051,0.92997597,0.93879923,0.93532125,0.94682976,0205,0034,0035,0.00000000,"J48,JRip,SimpleCart,J48_useLaplace,JRip_minNo,J48_binarySplits,SimpleCart_usePrune,DecisionTable,DecisionTable_crossVal,J48_minNumObj,J48_useMDLcorrection,Aggregator,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,SimpleCart_heuristic,PART,PART_useMDLcorrection,JRip_usePruning,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_pruning,PART_pruning,J48_collapseTree,JRip_checkErrorRate,SimpleCart_minNumObj,PART_binarySplits,JRip_optimizations,BestFirst_searchTermination,PART_minNumObj,GreedyStepwise_searchBackwards,BestFirst_direction,J48_numFolds,JRip_folds,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_confidenceFactorValue,PART_numFolds,J48_confidenceFactorValue"
4,90,0.71824655,0.92955564,0.93879923,0.93532125,0.94682976,0184,0034,0070,0.46745259,"JRip,PART,DecisionTable,J48,PART_useMDLcorrection,J48_useMDLcorrection,J48_pruning,J48_numFolds,DecisionTable_useIBk,J48_collapseTree,JRip_minNo,JRip_usePruning,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_binarySplits,SimpleCart_heuristic,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_confidenceFactorValue,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_optimizations,DecisionTable_crossVal,J48_minNumObj,PART_minNumObj,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_useOneSE,Aggregator,SimpleCart_numFoldsPruning,JRip_folds,JRip_checkErrorRate"
5,90,0.69908493,0.92959362,0.93980328,0.94022688,0.94650787,0189,0034,0070,0.46745259,"DecisionTable,J48,JRip,PART,J48_useLaplace,J48_minNumObj,JRip_minNo,J48_collapseTree,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_binarySplits,PART_minNumObj,Aggregator,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_pruning,J48_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_numFolds,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_optimizations,PART_useMDLcorrection,BestFirst_direction,JRip_usePruning,BestFirst_searchTermination,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_heuristic,JRip_folds,DecisionTable_search,JRip_checkErrorRate,J48_useMDLcorrection"
6,90,0.62521585,0.92976468,0.93980328,0.94022688,0.94650787,0219,0066,0070,0.46745259,"J48,PART,DecisionTable,JRip,PART_numFolds,J48_numFolds,J48_binarySplits,PART_pruning,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,PART_minNumObj,DecisionTable_crossVal,Aggregator,BestFirst_searchTermination,J48_collapseTree,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,BestFirst_direction,SimpleCart_heuristic,JRip_usePruning,SimpleCart_minNumObj,JRip_optimizations,PART_useMDLcorrection,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_useIBk,JRip_checkErrorRate,JRip_folds,J48_useMDLcorrection"
7,90,0.54674770,0.93037086,0.93980328,0.94022688,0.94650787,0206,0034,0063,0.55184467,"SimpleCart,J48,JRip,PART,J48_useMDLcorrection,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_useOneSE,PART_pruning,PART_numFolds,J48_collapseTree,J48_useLaplace,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,SimpleCart_minNumObj,J48_minNumObj,PART_minNumObj,JRip_minNo,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_folds,JRip_optimizations,JRip_checkErrorRate,PART_binarySplits,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,DecisionTable_crossVal,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,Aggregator"
8,90,0.67171123,0.93084620,0.94011853,0.94452388,0.94424636,0184,0034,0063,0.55184467,"J48,JRip,SimpleCart,PART,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_binarySplits,SimpleCart_minNumObj,J48_minNumObj,PART_minNumObj,SimpleCart_heuristic,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,PART_pruning,PART_numFolds,PART_binarySplits,PART_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_crossVal,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,JRip_folds,JRip_optimizations,BestFirst_searchTermination,J48_useLaplace,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,Aggregator,DecisionTable_evaluationMeasure"
9,90,0.72795910,0.93026861,0.94011853,0.94452388,0.94424636,0179,0034,0063,0.55184467,"PART,J48,JRip,SimpleCart,J48_useMDLcorrection,JRip_minNo,J48_binarySplits,J48_minNumObj,SimpleCart_heuristic,SimpleCart_minNumObj,PART_minNumObj,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_useLaplace,J48_collapseTree,PART_binarySplits,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,BestFirst_direction,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_searchBackwards,Aggregator,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart_numFoldsPruning,DecisionTable"
