individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,null,reducedErrorPruning,null,false,0.15,10,true,false,1,10,true,true,null,true,null,3,null,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,CompetenceBasedAggregator,true,true,null,null,null,null,true,3,null,false,8,null,null,0.0
overall,false,reducedErrorPruning,true,false,null,3,true,true,1,7,true,true,null,true,4,8,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,5,false,true,mae,CompetenceBasedAggregator,false,false,2,8,4,null,false,2,null,false,2,null,null,0.6770833333333334
gen_000_ind_000,true,reducedErrorPruning,true,true,0.25,6,false,true,0,2,true,true,null,true,null,2,true,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,2,true,true,rmse,MajorityVotingAggregator,true,false,4,4,null,null,true,3,null,false,9,null,0.6602777777777777,null
gen_000_ind_001,true,confidenceFactor,true,true,0.25,5,true,true,null,null,true,true,0.45,true,null,2,true,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,auc,RuleExtractorAggregator,false,true,3,3,null,null,false,null,true,true,2,false,0.6527777777777778,null
gen_000_ind_002,null,null,true,null,null,1,null,false,1,7,false,true,null,true,null,4,false,unpruned,false,null,true,weka.attributeSelection.BestFirst,true,true,5,false,true,mae,MajorityVotingAggregator,null,null,5,null,null,null,null,null,null,null,null,null,0.7094444444444444,null
gen_000_ind_003,null,reducedErrorPruning,true,true,null,null,true,false,null,null,true,false,null,true,null,4,false,unpruned,null,null,false,null,false,true,4,true,false,null,CompetenceBasedAggregator,false,false,2,null,null,null,true,9,null,true,2,null,0.6779629629629629,null
gen_000_ind_004,null,confidenceFactor,false,true,null,9,false,false,null,null,true,true,0.45,false,null,null,null,null,true,null,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,acc,RuleExtractorAggregator,false,false,5,null,null,null,true,null,false,false,10,false,0.6607407407407406,null
gen_000_ind_005,true,unpruned,false,null,0.15,9,false,true,null,null,true,true,null,true,2,10,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,MajorityVotingAggregator,true,true,9,5,3,null,false,null,false,false,6,false,0.717314814814815,null
gen_000_ind_006,true,unpruned,null,null,null,5,false,true,null,null,true,true,null,true,7,6,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,auc,RuleExtractorAggregator,false,true,null,6,4,null,true,null,false,false,4,false,0.6149074074074075,null
gen_000_ind_007,false,null,true,null,null,1,null,true,null,null,false,true,null,true,3,2,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,mae,RuleExtractorAggregator,null,null,3,2,6,10,null,null,false,null,null,false,0.6359259259259259,null
