gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.52074074,0.69208333,0.74564815,0.83148148,0.69375000,0025,0034,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,JRip,SimpleCart_minNumObj,JRip_usePruning,DecisionTable,PART,PART_useMDLcorrection,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_search,BestFirst_direction,Aggregator,BestFirst_searchTermination,PART_pruning,JRip_minNo,J48,PART_binarySplits,DecisionTable_crossVal,PART_minNumObj,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_folds,PART_numFolds,J48_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_checkErrorRate,SimpleCart_heuristic,J48_binarySplits,J48_useLaplace,JRip_optimizations,J48_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_useIBk,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_pruning,J48_collapseTree,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
1,90,0.59490741,0.69444444,0.74564815,0.83148148,0.69375000,0010,0034,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_heuristic,DecisionTable_crossVal,SimpleCart_usePrune,DecisionTable_search,SimpleCart_minNumObj,Aggregator,BestFirst_direction,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,JRip,JRip_usePruning,SimpleCart_numFoldsPruning,J48,PART,J48_pruning,PART_pruning,DecisionTable_useIBk,J48_numFolds,GreedyStepwise_conservativeForwardSelection,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_minNumObj,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_optimizations,JRip_checkErrorRate,JRip_minNo,J48_collapseTree,J48_minNumObj,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,PART_confidenceFactorValue,J48_subtreeRaising,J48_confidenceFactorValue,J48_useLaplace"
2,90,0.58231481,0.69777778,0.74564815,0.83148148,0.69375000,0010,0034,0035,0.00000000,"SimpleCart,J48,J48_useMDLcorrection,PART,SimpleCart_minNumObj,J48_binarySplits,JRip,DecisionTable,SimpleCart_usePrune,Aggregator,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_minNumObj,JRip_checkErrorRate,PART_useMDLcorrection,J48_pruning,J48_useLaplace,PART_binarySplits,PART_minNumObj,J48_numFolds,SimpleCart_heuristic,JRip_folds,J48_collapseTree,DecisionTable_useIBk,PART_pruning,DecisionTable_search,SimpleCart_numFoldsPruning,JRip_minNo,BestFirst_direction,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip_optimizations,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_numFolds,BestFirst_searchTermination,PART_confidenceFactorValue"
3,90,0.46148148,0.69671296,0.74564815,0.83148148,0.69375000,0010,0034,0035,0.00000000,"PART,SimpleCart,PART_pruning,PART_useMDLcorrection,DecisionTable,PART_minNumObj,JRip,DecisionTable_search,Aggregator,PART_binarySplits,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_numFolds,DecisionTable_useIBk,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,J48,J48_doNotMakeSplitPointActualValue,JRip_usePruning,DecisionTable_crossVal,JRip_checkErrorRate,J48_pruning,J48_binarySplits,JRip_minNo,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_direction,JRip_folds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_minNumObj,JRip_optimizations,J48_numFolds,J48_useLaplace,J48_collapseTree,J48_subtreeRaising,J48_confidenceFactorValue,J48_useMDLcorrection"
4,90,0.60203704,0.70388889,0.74564815,0.83148148,0.69375000,0011,0082,0073,0.59488176,"DecisionTable,PART,JRip,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,DecisionTable_evaluationMeasure,PART_minNumObj,BestFirst_direction,JRip_usePruning,PART_pruning,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,DecisionTable_useIBk,PART_numFolds,J48_useLaplace,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_useMDLcorrection,JRip_optimizations,PART_binarySplits,JRip_folds,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48,J48_collapseTree,J48_binarySplits,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,Aggregator,SimpleCart_minNumObj,SimpleCart_heuristic,J48_useMDLcorrection,JRip_minNo"
5,90,0.58379630,0.70129630,0.74564815,0.83148148,0.69375000,0011,0034,0073,0.59488176,"PART,JRip,DecisionTable,PART_pruning,PART_confidenceFactorValue,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART_useMDLcorrection,DecisionTable_crossVal,J48,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_collapseTree,PART_minNumObj,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_useMDLcorrection,J48_pruning,J48_numFolds,SimpleCart,DecisionTable_search,GreedyStepwise_searchBackwards,SimpleCart_usePrune,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_usePruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds,JRip_minNo,J48_minNumObj,SimpleCart_minNumObj,JRip_optimizations,JRip_folds,SimpleCart_heuristic,Aggregator,SimpleCart_useOneSE,JRip_checkErrorRate,J48_binarySplits"
6,90,0.64555556,0.70699074,0.74564815,0.83148148,0.69375000,0011,0038,0073,0.59488176,"PART,JRip,DecisionTable,JRip_minNo,JRip_checkErrorRate,DecisionTable_search,JRip_usePruning,JRip_optimizations,PART_binarySplits,PART_minNumObj,BestFirst_direction,BestFirst_searchTermination,DecisionTable_useIBk,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_pruning,PART_confidenceFactorValue,J48,GreedyStepwise_searchBackwards,J48_useLaplace,J48_subtreeRaising,SimpleCart_numFoldsPruning,JRip_folds,J48_minNumObj,J48_binarySplits,J48_pruning,J48_useMDLcorrection,PART_numFolds,J48_collapseTree,J48_doNotMakeSplitPointActualValue,Aggregator,J48_confidenceFactorValue,J48_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_useOneSE"
7,90,0.60268519,0.70060185,0.74564815,0.83148148,0.69375000,0011,0147,0068,0.60082899,"PART,PART_useMDLcorrection,Aggregator,DecisionTable,PART_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_direction,DecisionTable_crossVal,PART_minNumObj,J48_useLaplace,SimpleCart_minNumObj,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_numFolds,J48_minNumObj,J48_collapseTree,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_usePruning,JRip_folds,JRip_optimizations,SimpleCart,JRip_minNo,PART_pruning,PART_numFolds,SimpleCart_useOneSE,J48,J48_doNotMakeSplitPointActualValue,J48_binarySplits,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue"
8,90,0.55981481,0.70050926,0.74564815,0.83148148,0.69375000,0010,0034,0068,0.60082899,"PART,DecisionTable,PART_useMDLcorrection,Aggregator,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,PART_pruning,PART_numFolds,PART_binarySplits,DecisionTable_search,BestFirst_direction,PART_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,JRip_folds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_usePruning,JRip_checkErrorRate,SimpleCart_useOneSE,J48,J48_pruning,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_useMDLcorrection,J48_subtreeRaising,J48_numFolds,SimpleCart_heuristic,SimpleCart_minNumObj,J48_minNumObj,J48_collapseTree,JRip_minNo,JRip_optimizations,J48_binarySplits,SimpleCart"
9,90,0.59953704,0.70162037,0.74564815,0.83148148,0.69375000,0011,0096,0068,0.60082899,"Aggregator,PART,PART_useMDLcorrection,DecisionTable,JRip_usePruning,J48_subtreeRaising,PART_numFolds,J48_confidenceFactorValue,DecisionTable_useIBk,PART_pruning,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_binarySplits,DecisionTable_crossVal,PART_minNumObj,JRip_folds,JRip_optimizations,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_minNo,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,SimpleCart_useOneSE,J48,J48_collapseTree,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_useLaplace,J48_pruning,J48_numFolds,J48_binarySplits"
