individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,false,null,null,6,true,true,0,5,true,true,null,true,null,8,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,mae,MajorityVotingAggregator,false,false,3,4,null,null,false,null,null,true,5,null,null,0.972287813196904
overall,true,null,false,null,null,5,null,true,null,null,false,true,null,true,null,8,null,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,null,null,7,4,null,null,null,null,false,null,null,false,null,0.9794372294372294
gen_000_ind_000,false,unpruned,false,null,null,9,true,true,null,null,true,true,null,false,3,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,mae,RuleExtractorAggregator,false,true,2,2,6,null,true,null,false,false,4,false,0.9839861474856286,null
gen_000_ind_001,true,unpruned,null,null,null,4,false,true,null,null,true,true,null,true,3,7,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,auc,CompetenceBasedAggregator,true,true,null,6,8,3,true,null,true,false,3,true,0.9968060483273211,null
gen_000_ind_002,true,reducedErrorPruning,false,false,null,1,false,true,null,null,true,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,mae,MajorityVotingAggregator,true,false,10,10,null,null,true,5,true,true,3,false,0.99710816820675,null
gen_000_ind_003,true,reducedErrorPruning,false,false,null,2,false,true,1,5,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.BestFirst,null,true,null,true,null,mae,RuleExtractorAggregator,false,true,5,7,null,null,true,2,null,false,10,null,0.9864457511818288,null
gen_000_ind_004,true,reducedErrorPruning,false,false,null,1,true,true,1,9,true,true,null,true,5,3,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,CompetenceBasedAggregator,false,true,3,6,7,9,true,2,null,false,4,null,0.9977567491887797,null
gen_000_ind_005,false,reducedErrorPruning,false,true,0.05,1,false,true,1,10,true,true,null,true,4,3,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,mae,CompetenceBasedAggregator,false,true,10,7,7,null,false,9,null,false,4,null,0.996778046811945,null
gen_000_ind_006,false,unpruned,false,null,null,1,false,true,0,7,true,true,null,true,2,3,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,6,9,7,3,true,null,null,true,6,null,0.9970070168503236,null
gen_000_ind_007,true,confidenceFactor,true,true,null,2,false,true,1,6,true,true,0.15,true,null,2,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,8,false,false,auc,RuleExtractorAggregator,true,true,7,7,null,3,false,null,null,false,10,null,0.9727185682989902,null
