individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,reducedErrorPruning,null,null,0.25,3,false,true,0,1,true,true,null,true,3,9,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,5,5,null,true,null,null,true,6,null,null,0.0
overall,false,reducedErrorPruning,null,null,0.25,3,false,true,0,1,true,true,null,true,3,9,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,5,5,null,true,null,null,true,6,null,null,0.0
gen_000_ind_000,false,unpruned,true,null,null,9,true,true,2,3,true,true,null,true,2,2,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,8,false,true,acc,CompetenceBasedAggregator,false,true,9,7,9,null,true,null,null,false,9,null,0.6961315524193548,null
gen_000_ind_001,false,confidenceFactor,true,true,null,10,true,true,null,null,true,true,0.25,true,9,6,false,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,7,true,true,mae,RuleExtractorAggregator,false,true,4,9,9,null,false,null,false,false,10,false,0.6739793346774194,null
gen_000_ind_002,true,null,true,null,null,null,null,true,null,null,false,false,null,true,null,8,true,unpruned,null,false,false,null,true,true,10,true,false,null,RuleExtractorAggregator,null,null,6,5,null,null,null,null,null,null,null,null,0.6573336693548387,null
gen_000_ind_003,true,confidenceFactor,true,false,0.35,1,true,true,1,5,true,true,0.25,true,null,4,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,9,true,true,auc,RuleExtractorAggregator,false,false,6,4,null,null,true,null,null,true,8,null,0.7314264112903226,null
gen_000_ind_004,true,confidenceFactor,true,true,null,1,false,true,2,9,true,true,0.15,true,9,3,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,4,false,false,acc,RuleExtractorAggregator,true,true,10,4,9,3,true,null,null,true,8,null,0.7313130040322581,null
gen_000_ind_005,true,null,false,null,0.15,2,null,true,1,2,false,true,null,true,7,8,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,RuleExtractorAggregator,null,null,6,6,6,null,null,null,null,null,null,null,0.7310987903225806,null
gen_000_ind_006,false,confidenceFactor,true,true,null,1,true,true,1,3,true,true,0.45,true,null,8,false,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,false,true,3,false,false,auc,MajorityVotingAggregator,true,false,6,10,null,3,false,null,null,true,8,null,0.7612903225806452,null
gen_000_ind_007,false,unpruned,false,null,null,2,false,true,0,7,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,mae,RuleExtractorAggregator,false,true,10,4,null,null,true,null,null,false,2,null,0.6699596774193548,null
gen_000_ind_008,true,unpruned,false,null,0.25,4,true,true,null,null,true,true,null,true,2,6,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,true,false,2,5,6,null,false,null,false,true,8,true,0.7665448588709678,null
gen_000_ind_009,true,confidenceFactor,false,true,0.35,2,false,true,1,7,true,true,0.15,true,10,4,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,acc,CompetenceBasedAggregator,true,false,4,4,10,null,false,null,null,false,2,null,0.727797379032258,null
gen_000_ind_010,null,unpruned,false,null,null,1,false,false,null,null,true,true,null,true,null,5,null,unpruned,true,null,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,false,false,2,null,null,null,true,null,false,true,2,false,0.6787676411290322,null
gen_000_ind_011,false,confidenceFactor,true,true,0.25,9,false,true,1,9,true,true,0.35,true,null,9,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,2,false,false,rmse,CompetenceBasedAggregator,false,false,4,5,null,null,true,null,null,false,8,null,0.7221774193548387,null
gen_000_ind_012,true,reducedErrorPruning,true,false,null,1,false,true,1,7,true,true,null,true,null,7,true,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,true,6,false,false,auc,MajorityVotingAggregator,true,true,6,6,null,10,false,9,null,true,4,null,0.7164692540322581,null
gen_000_ind_013,null,reducedErrorPruning,true,true,null,8,true,false,null,null,true,true,null,false,null,null,false,null,true,null,null,weka.attributeSelection.GreedyStepwise,null,true,8,false,null,rmse,RuleExtractorAggregator,false,true,7,null,null,null,false,8,true,false,2,false,0.5946194556451613,null
gen_000_ind_014,false,confidenceFactor,true,false,0.05,7,true,true,1,1,true,true,0.05,true,8,9,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,2,true,false,auc,CompetenceBasedAggregator,true,false,5,2,5,null,false,null,null,false,2,null,0.7393145161290322,null
gen_000_ind_015,true,null,true,null,0.35,10,null,true,null,null,false,true,null,true,null,7,true,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,10,false,true,rmse,RuleExtractorAggregator,null,null,9,2,null,null,null,null,false,null,null,false,0.6720892137096774,null
gen_000_ind_016,false,confidenceFactor,null,false,0.25,null,false,true,null,null,true,false,0.05,true,2,3,null,confidenceFactor,null,true,false,null,true,false,null,null,false,null,CompetenceBasedAggregator,true,false,null,4,7,null,true,null,null,true,2,null,0.704851310483871,null
gen_000_ind_017,false,null,true,null,0.45,5,null,true,2,3,false,true,null,true,7,2,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,false,auc,MajorityVotingAggregator,null,null,5,2,5,null,null,null,null,null,null,null,0.7366305443548387,null
gen_000_ind_018,true,unpruned,false,null,null,1,false,true,null,null,true,true,null,true,null,9,null,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,CompetenceBasedAggregator,false,false,2,3,null,8,true,null,true,true,5,false,0.723046875,null
gen_000_ind_019,false,null,true,null,0.25,7,null,true,1,5,false,true,null,true,null,7,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,2,true,false,auc,MajorityVotingAggregator,null,null,4,8,null,null,null,null,null,null,null,null,0.7605216733870968,null
gen_000_ind_020,true,unpruned,true,null,null,9,true,true,2,5,true,true,null,true,5,6,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,2,true,false,auc,CompetenceBasedAggregator,true,false,6,8,7,null,true,null,null,true,8,null,0.7765625,null
gen_000_ind_021,true,reducedErrorPruning,null,true,0.35,1,false,true,1,8,true,true,null,true,null,8,null,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,false,null,null,true,acc,MajorityVotingAggregator,false,false,null,2,null,null,true,5,null,false,6,null,0.7265751008064516,null
gen_000_ind_022,false,unpruned,false,null,null,4,false,true,0,7,true,true,null,true,2,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,MajorityVotingAggregator,true,true,7,7,8,3,false,null,null,false,3,null,0.7496597782258064,null
gen_000_ind_023,true,unpruned,false,null,0.25,8,false,true,null,null,true,true,null,true,null,3,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,acc,MajorityVotingAggregator,false,false,8,8,null,null,false,null,false,false,9,true,0.7522807459677419,null
gen_000_ind_024,true,confidenceFactor,true,false,0.25,4,false,true,null,null,true,true,0.45,true,null,5,false,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,auc,MajorityVotingAggregator,false,false,2,4,null,null,false,null,true,false,6,false,0.7125630040322581,null
gen_000_ind_025,true,reducedErrorPruning,false,false,null,1,false,true,0,2,true,true,null,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,MajorityVotingAggregator,false,false,4,9,null,null,false,3,null,false,5,null,0.7549647177419355,null
gen_000_ind_026,false,null,true,null,null,1,null,true,null,null,false,true,null,true,7,4,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,8,false,false,acc,MajorityVotingAggregator,null,null,4,6,8,null,null,null,true,null,null,true,0.7176789314516129,null
gen_000_ind_027,false,unpruned,null,null,null,6,false,true,2,2,true,true,null,false,1,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,auc,CompetenceBasedAggregator,false,false,null,6,5,null,false,null,null,false,7,null,0.6917464717741936,null
gen_000_ind_028,true,reducedErrorPruning,true,true,null,10,false,true,2,2,true,true,null,true,8,3,true,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,4,true,true,auc,MajorityVotingAggregator,false,false,6,5,8,null,true,6,null,false,10,null,0.738117439516129,null
gen_000_ind_029,false,reducedErrorPruning,true,true,0.45,null,false,true,null,null,true,false,null,true,null,4,true,confidenceFactor,null,false,false,null,false,true,5,false,false,null,RuleExtractorAggregator,false,true,6,10,null,null,false,2,null,false,2,null,0.7360761088709677,null
gen_000_ind_030,false,confidenceFactor,false,true,0.15,1,false,true,null,null,true,true,0.15,true,2,8,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,mae,MajorityVotingAggregator,true,false,8,10,3,null,true,null,false,false,6,true,0.78828125,null
gen_000_ind_031,true,null,true,null,null,3,null,true,1,1,false,true,null,true,1,10,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,4,false,false,auc,RuleExtractorAggregator,null,null,6,10,9,null,null,null,null,null,null,null,0.6954133064516129,null
gen_000_ind_032,true,confidenceFactor,null,false,null,9,false,true,null,null,true,true,0.15,true,2,2,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,acc,MajorityVotingAggregator,true,true,null,4,7,null,true,null,true,true,6,false,0.7630418346774194,null
gen_000_ind_033,true,confidenceFactor,true,false,null,3,false,true,2,4,true,true,0.45,true,null,9,false,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,RuleExtractorAggregator,true,true,6,3,null,null,false,null,null,true,5,null,0.6927041330645161,null
gen_000_ind_034,true,reducedErrorPruning,true,true,0.05,6,true,true,null,null,true,true,null,true,null,7,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,true,auc,CompetenceBasedAggregator,false,false,3,3,null,null,true,8,false,false,7,false,0.7391633064516129,null
