gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.59461946,0.72433216,0.78828125,0.80664063,0.83730159,0069,0034,0035,0.00000000,"PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,J48,J48_pruning,Aggregator,JRip,J48_collapseTree,DecisionTable,J48_minNumObj,DecisionTable_search,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_numFolds,JRip_usePruning,JRip_folds,PART_confidenceFactorValue,J48_useMDLcorrection,JRip_minNo,SimpleCart,DecisionTable_evaluationMeasure,JRip_optimizations,DecisionTable_crossVal,J48_confidenceFactorValue,PART_minNumObj,J48_binarySplits,GreedyStepwise_searchBackwards,J48_subtreeRaising,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_numFolds,JRip_checkErrorRate,DecisionTable_useIBk,BestFirst_direction,BestFirst_searchTermination,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,90,0.54222530,0.73153352,0.80631300,0.83984375,0.89682540,0062,0034,0035,0.00000000,"SimpleCart,J48,J48_doNotMakeSplitPointActualValue,Aggregator,J48_minNumObj,PART,J48_useLaplace,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable,SimpleCart_heuristic,SimpleCart_numFoldsPruning,J48_pruning,JRip,DecisionTable_crossVal,J48_useMDLcorrection,J48_collapseTree,JRip_usePruning,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_minNumObj,JRip_checkErrorRate,PART_confidenceFactorValue,PART_useMDLcorrection,DecisionTable_useIBk,JRip_minNo,J48_binarySplits,PART_binarySplits,J48_numFolds,DecisionTable_search,PART_numFolds,J48_confidenceFactorValue,JRip_optimizations,J48_subtreeRaising,BestFirst_searchTermination,JRip_folds,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
2,90,0.60569556,0.72527092,0.81321825,0.71093750,0.79365079,0062,0034,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,JRip,J48,DecisionTable_search,JRip_minNo,GreedyStepwise_searchBackwards,DecisionTable_crossVal,SimpleCart_usePrune,J48_pruning,PART,SimpleCart_heuristic,BestFirst_direction,Aggregator,J48_useLaplace,PART_pruning,DecisionTable_useIBk,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_confidenceFactorValue,BestFirst_searchTermination,J48_numFolds,J48_minNumObj,JRip_folds,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_subtreeRaising,PART_numFolds,PART_useMDLcorrection,PART_minNumObj,JRip_optimizations"
3,90,0.56694808,0.73116809,0.81321825,0.71093750,0.79365079,0053,0034,0035,0.00000000,"JRip,DecisionTable,JRip_minNo,DecisionTable_useIBk,SimpleCart,Aggregator,J48,PART,J48_pruning,J48_minNumObj,PART_useMDLcorrection,JRip_usePruning,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_pruning,DecisionTable_evaluationMeasure,SimpleCart_heuristic,DecisionTable_search,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_numFolds,GreedyStepwise_searchBackwards,PART_binarySplits,J48_collapseTree,JRip_optimizations,J48_binarySplits,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_useOneSE,PART_numFolds,PART_minNumObj,JRip_folds,J48_confidenceFactorValue,PART_confidenceFactorValue,BestFirst_searchTermination"
4,90,0.50000000,0.73134451,0.83559728,0.86328125,0.83730159,0068,0119,0073,0.54492595,"PART,DecisionTable,JRip,JRip_minNo,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_binarySplits,SimpleCart,PART_minNumObj,SimpleCart_heuristic,PART_pruning,PART_numFolds,JRip_checkErrorRate,DecisionTable_search,BestFirst_searchTermination,J48,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,J48_useLaplace,SimpleCart_usePrune,JRip_usePruning,J48_binarySplits,JRip_optimizations,BestFirst_direction,JRip_folds,Aggregator,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_numFolds,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_subtreeRaising,J48_minNumObj,J48_pruning,PART_useMDLcorrection"
5,90,0.50703125,0.72322959,0.83559728,0.86328125,0.83730159,0072,0259,0073,0.54492595,"PART,JRip,DecisionTable,DecisionTable_crossVal,SimpleCart,PART_minNumObj,PART_binarySplits,PART_confidenceFactorValue,J48_useLaplace,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_numFolds,DecisionTable_useIBk,PART_pruning,PART_numFolds,J48,JRip_checkErrorRate,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_usePruning,SimpleCart_minNumObj,J48_binarySplits,JRip_optimizations,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_usePrune,BestFirst_direction,Aggregator,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_collapseTree,JRip_minNo,JRip_folds,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_pruning,J48_minNumObj,J48_subtreeRaising"
6,90,0.57297127,0.72978831,0.83559728,0.86328125,0.83730159,0064,0034,0073,0.54492595,"JRip,DecisionTable,PART,DecisionTable_evaluationMeasure,DecisionTable_search,PART_minNumObj,PART_useMDLcorrection,GreedyStepwise_searchBackwards,DecisionTable_crossVal,SimpleCart,PART_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,Aggregator,BestFirst_direction,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_usePruning,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,J48,JRip_checkErrorRate,J48_binarySplits,J48_collapseTree,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_minNumObj,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_useIBk,JRip_folds,J48_subtreeRaising,JRip_minNo"
7,90,0.55676663,0.72856603,0.83559728,0.86328125,0.83730159,0061,0147,0054,0.56940416,"DecisionTable,PART,PART_binarySplits,JRip,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_useLaplace,J48_numFolds,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,PART_numFolds,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_folds,J48_binarySplits,BestFirst_searchTermination,JRip_usePruning,PART_doNotMakeSplitPointActualValue,JRip_optimizations,Aggregator,PART_pruning,JRip_checkErrorRate,J48,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_minNumObj,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_collapseTree,SimpleCart,JRip_minNo,PART_minNumObj,DecisionTable_crossVal"
8,90,0.61903982,0.72969380,0.83559728,0.86328125,0.83730159,0063,0034,0054,0.56940416,"PART,DecisionTable,PART_binarySplits,JRip,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,PART_useMDLcorrection,JRip_usePruning,JRip_folds,DecisionTable_evaluationMeasure,DecisionTable_useIBk,BestFirst_searchTermination,JRip_minNo,PART_minNumObj,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_optimizations,Aggregator,PART_pruning,J48,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,J48_binarySplits,PART_numFolds,J48_numFolds,PART_confidenceFactorValue,SimpleCart,J48_useLaplace,J48_confidenceFactorValue,J48_minNumObj,J48_collapseTree,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
9,90,0.55076865,0.73701487,0.83559728,0.86328125,0.83730159,0053,0034,0054,0.56940416,"JRip,DecisionTable,DecisionTable_search,PART,PART_binarySplits,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_numFolds,PART_minNumObj,DecisionTable_crossVal,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,SimpleCart,PART_useMDLcorrection,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_usePruning,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_folds,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_checkErrorRate,JRip_optimizations,Aggregator,BestFirst_searchTermination,J48,J48_useMDLcorrection,J48_useLaplace,J48_binarySplits,J48_pruning,J48_collapseTree,J48_subtreeRaising,J48_confidenceFactorValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_numFolds"
