individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,false,true,null,8,true,true,null,null,true,true,0.15,true,null,6,null,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,mae,CompetenceBasedAggregator,true,false,7,2,null,null,true,null,false,true,8,true,null,0.9884697029325129
overall,false,confidenceFactor,false,true,null,8,true,true,null,null,true,true,0.15,true,null,6,null,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,mae,CompetenceBasedAggregator,true,false,7,2,null,null,true,null,false,true,8,true,null,0.9884697029325129
gen_000_ind_000,false,unpruned,null,null,null,6,false,true,2,8,true,true,null,true,8,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,MajorityVotingAggregator,false,true,null,2,6,8,true,null,null,true,9,null,0.9870615323836349,null
gen_000_ind_001,true,unpruned,false,null,null,null,true,true,null,null,true,false,null,false,7,null,null,null,null,true,null,null,null,true,null,false,null,null,CompetenceBasedAggregator,true,false,3,5,9,null,true,null,null,false,8,null,0.9886874659511087,null
gen_000_ind_002,true,unpruned,false,null,null,2,false,true,2,8,true,true,null,true,5,4,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,CompetenceBasedAggregator,true,true,5,10,9,null,false,null,null,false,2,null,0.9889681125290904,null
gen_000_ind_003,false,confidenceFactor,false,false,0.15,8,false,true,null,null,true,true,0.25,true,null,10,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,7,10,null,null,true,null,false,false,2,true,0.9902903782823775,null
gen_000_ind_004,true,null,true,null,null,1,null,true,1,2,false,true,null,true,null,10,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,MajorityVotingAggregator,null,null,2,4,null,7,null,null,null,null,null,null,0.9864575114912995,null
gen_000_ind_005,true,unpruned,false,null,null,1,true,true,0,5,true,true,null,true,3,2,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,CompetenceBasedAggregator,false,true,2,8,8,null,false,null,null,false,9,null,0.9895194453781728,null
gen_000_ind_006,true,reducedErrorPruning,false,false,0.35,1,true,true,1,1,true,true,null,true,2,6,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,RuleExtractorAggregator,true,true,4,9,5,null,true,3,null,true,8,null,0.9700606923499949,null
gen_000_ind_007,null,unpruned,false,null,0.05,2,true,false,null,null,true,true,null,true,null,2,null,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,CompetenceBasedAggregator,true,true,10,null,null,null,false,null,false,false,10,false,0.9879650885367767,null
gen_000_ind_008,true,unpruned,true,null,null,5,true,true,null,null,true,true,null,false,6,null,true,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,10,true,null,acc,MajorityVotingAggregator,false,false,2,2,7,null,false,null,false,false,2,false,0.986089384215739,null
gen_000_ind_009,true,unpruned,true,null,null,4,false,true,2,5,true,true,null,true,8,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,8,false,false,auc,CompetenceBasedAggregator,true,false,6,4,7,9,false,null,null,true,6,null,0.9880078033941352,null
gen_000_ind_010,true,reducedErrorPruning,false,true,0.35,1,true,true,null,null,true,true,null,true,2,4,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,CompetenceBasedAggregator,true,false,10,2,7,null,true,3,false,true,2,true,0.989404057468733,null
gen_000_ind_011,true,confidenceFactor,null,true,null,null,false,true,null,null,true,false,0.05,true,null,10,null,unpruned,null,false,true,null,false,false,null,null,false,null,RuleExtractorAggregator,false,true,null,4,null,null,false,null,null,false,2,null,0.9107602674713473,null
gen_000_ind_012,false,null,true,null,0.05,10,null,true,2,10,false,true,null,true,7,3,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,5,true,true,mae,RuleExtractorAggregator,null,null,6,4,5,null,null,null,null,null,null,null,0.9552861040598513,null
gen_000_ind_013,true,reducedErrorPruning,true,false,null,8,false,true,null,null,true,true,null,true,6,6,false,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,4,false,true,auc,MajorityVotingAggregator,false,true,7,2,10,null,false,10,false,false,8,false,0.9893860107514003,null
gen_000_ind_014,false,reducedErrorPruning,true,false,0.05,7,true,true,0,6,true,true,null,true,null,9,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,5,false,true,mae,MajorityVotingAggregator,true,true,3,8,null,null,true,3,null,false,8,null,0.989831304244794,null
gen_000_ind_015,false,unpruned,true,null,null,9,false,true,1,7,true,true,null,true,null,8,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,5,true,false,auc,MajorityVotingAggregator,false,true,7,4,null,null,false,null,null,false,7,null,0.9896432706511759,null
gen_000_ind_016,false,confidenceFactor,false,true,null,9,false,true,2,9,true,true,0.45,true,10,8,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,CompetenceBasedAggregator,false,true,2,6,2,null,true,null,null,true,2,null,0.9883112184576867,null
gen_000_ind_017,true,unpruned,null,null,null,10,true,true,null,null,true,true,null,true,10,6,null,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,auc,CompetenceBasedAggregator,true,true,null,3,9,null,true,null,true,false,5,false,0.9906655664769589,null
gen_000_ind_018,false,unpruned,true,null,0.45,4,true,true,null,null,true,true,null,true,3,7,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,mae,CompetenceBasedAggregator,true,true,6,7,5,null,false,null,true,false,2,false,0.9893049116048924,null
gen_000_ind_019,null,reducedErrorPruning,false,false,null,6,false,false,2,9,true,true,null,true,null,6,null,unpruned,false,null,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,false,false,2,null,null,null,false,8,null,true,2,null,0.98697873642713,null
gen_000_ind_020,true,confidenceFactor,true,false,0.45,3,true,true,null,null,true,true,0.15,true,3,7,true,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,3,false,false,auc,RuleExtractorAggregator,true,true,3,2,4,null,false,null,true,true,5,false,0.9574356596694988,null
gen_000_ind_021,true,reducedErrorPruning,false,false,0.15,null,false,true,null,null,true,false,null,true,null,8,null,confidenceFactor,null,false,false,null,false,true,null,true,false,null,MajorityVotingAggregator,true,true,10,8,null,null,true,3,null,false,9,null,0.9890221238909559,null
gen_000_ind_022,false,unpruned,false,null,null,1,false,true,2,1,true,true,null,true,10,4,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,acc,MajorityVotingAggregator,true,true,5,2,9,null,true,null,null,false,7,null,0.9888919540940451,null
gen_000_ind_023,false,unpruned,true,null,null,2,false,true,null,null,true,true,null,false,null,null,true,null,true,false,null,weka.attributeSelection.GreedyStepwise,null,true,3,true,null,acc,MajorityVotingAggregator,false,false,4,7,null,null,false,null,false,true,4,true,0.9893852476698646,null
gen_000_ind_024,true,unpruned,true,null,null,8,true,true,1,5,true,true,null,true,3,5,true,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,false,auc,CompetenceBasedAggregator,true,true,10,2,8,null,false,null,null,false,2,null,0.9914863604810055,null
gen_000_ind_025,true,null,true,null,null,2,null,true,null,null,false,true,null,true,9,2,false,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,rmse,MajorityVotingAggregator,null,null,5,2,6,null,null,null,true,null,null,true,0.9891017467805685,null
gen_000_ind_026,false,unpruned,true,null,null,9,false,true,null,null,true,true,null,true,null,8,false,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,auc,RuleExtractorAggregator,false,false,10,3,null,7,true,null,false,false,10,false,0.9403271430356093,null
gen_000_ind_027,true,reducedErrorPruning,false,false,null,5,true,true,null,null,true,true,null,true,6,5,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,false,false,9,2,3,7,true,7,false,true,8,false,0.9880969197263983,null
gen_000_ind_028,true,null,true,null,0.15,2,null,true,0,7,false,true,null,true,8,10,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,mae,CompetenceBasedAggregator,null,null,7,6,4,null,null,null,null,null,null,null,0.9852953463617432,null
gen_000_ind_029,true,reducedErrorPruning,true,true,null,1,false,true,null,null,true,true,null,true,6,10,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,10,false,false,auc,CompetenceBasedAggregator,false,false,2,6,7,10,false,3,false,true,4,true,0.9867611277894334,null
gen_000_ind_030,true,confidenceFactor,true,true,null,2,true,true,null,null,true,true,0.25,true,null,5,false,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,6,false,false,mae,RuleExtractorAggregator,false,true,10,2,null,4,false,null,false,false,3,true,0.9488043655347301,null
gen_000_ind_031,false,unpruned,true,null,0.15,3,false,true,1,4,true,true,null,true,2,2,true,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,4,false,true,auc,MajorityVotingAggregator,true,true,3,8,6,null,true,null,null,false,5,null,0.9891651050863087,null
gen_000_ind_032,true,unpruned,false,null,0.45,6,false,true,2,10,true,true,null,true,6,2,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,MajorityVotingAggregator,false,false,3,2,6,null,true,null,null,false,4,null,0.9888884687110814,null
gen_000_ind_033,true,reducedErrorPruning,false,true,0.45,4,false,true,null,null,true,true,null,true,1,2,null,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,acc,RuleExtractorAggregator,false,true,7,2,7,null,false,4,true,true,9,false,0.9305258533312211,null
gen_000_ind_034,true,confidenceFactor,true,true,0.25,9,true,true,1,1,true,true,0.05,true,6,3,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,2,false,true,acc,CompetenceBasedAggregator,false,false,9,2,5,null,true,null,null,false,6,null,0.9880744007717105,null
gen_000_ind_035,null,confidenceFactor,true,true,null,null,false,false,null,null,true,false,0.45,true,null,5,true,unpruned,null,null,true,null,true,true,6,false,true,null,CompetenceBasedAggregator,true,true,10,null,null,null,true,null,null,true,2,null,0.9866000548002015,null
gen_000_ind_036,false,reducedErrorPruning,true,false,0.05,4,false,true,null,null,true,true,null,true,3,5,true,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,4,true,false,auc,CompetenceBasedAggregator,false,true,7,7,2,null,false,8,false,false,2,false,0.9858900331892173,null
gen_000_ind_037,false,confidenceFactor,true,true,null,6,false,true,null,null,true,true,0.05,true,6,8,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,auc,CompetenceBasedAggregator,true,true,4,9,9,8,true,null,false,true,2,false,0.9867818388526345,null
gen_000_ind_038,true,reducedErrorPruning,true,false,null,2,true,true,null,null,true,true,null,true,null,9,true,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,true,auc,CompetenceBasedAggregator,true,true,2,3,null,null,false,5,true,false,5,true,0.9902931311714621,null
gen_000_ind_039,true,unpruned,false,null,0.15,3,false,true,null,null,true,true,null,true,5,10,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,mae,MajorityVotingAggregator,false,true,9,5,8,null,true,null,false,false,7,false,0.9870478210641412,null
