gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.95678519,0.98904444,0.99582222,0.99814815,0.99900000,0279,0034,0035,0.00000000,"J48,J48_useLaplace,DecisionTable,Aggregator,J48_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart,SimpleCart_minNumObj,DecisionTable_crossVal,J48_minNumObj,DecisionTable_useIBk,JRip,J48_collapseTree,JRip_checkErrorRate,PART,J48_useMDLcorrection,J48_numFolds,DecisionTable_evaluationMeasure,PART_minNumObj,PART_useMDLcorrection,J48_binarySplits,DecisionTable_search,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_minNo,J48_subtreeRaising,J48_confidenceFactorValue,BestFirst_direction,JRip_usePruning,PART_pruning,SimpleCart_heuristic,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_numFolds,JRip_optimizations,JRip_folds"
1,90,0.94081481,0.98800741,0.99582222,0.99814815,0.99900000,0224,0034,0035,0.00000000,"J48,Aggregator,J48_useMDLcorrection,J48_pruning,DecisionTable,PART,SimpleCart,JRip,J48_minNumObj,DecisionTable_crossVal,PART_minNumObj,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_collapseTree,PART_useMDLcorrection,PART_binarySplits,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_useLaplace,JRip_minNo,DecisionTable_search,J48_numFolds,J48_subtreeRaising,JRip_usePruning,J48_confidenceFactorValue,PART_pruning,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,BestFirst_searchTermination,BestFirst_direction,PART_numFolds,JRip_folds,SimpleCart_useOneSE,JRip_optimizations"
2,90,0.92065185,0.98966667,0.99582222,0.99814815,0.99900000,0220,0034,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,DecisionTable,J48,J48_minNumObj,PART,SimpleCart_useOneSE,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,Aggregator,DecisionTable_crossVal,SimpleCart_heuristic,J48_collapseTree,J48_useLaplace,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_binarySplits,JRip_folds,JRip_optimizations,J48_useMDLcorrection,PART_pruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,PART_numFolds,BestFirst_searchTermination,J48_pruning,PART_useMDLcorrection,J48_confidenceFactorValue,BestFirst_direction,J48_numFolds,PART_confidenceFactorValue,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection"
3,90,0.94240000,0.98910370,0.99582222,0.99814815,0.99900000,0202,0034,0035,0.00000000,"Aggregator,DecisionTable,J48,DecisionTable_crossVal,J48_pruning,PART,SimpleCart,J48_subtreeRaising,PART_useMDLcorrection,PART_minNumObj,J48_minNumObj,DecisionTable_search,SimpleCart_usePrune,JRip,J48_numFolds,J48_collapseTree,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_useLaplace,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_pruning,BestFirst_direction,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_usePruning,J48_useMDLcorrection,PART_binarySplits,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,JRip_minNo,J48_binarySplits,BestFirst_searchTermination,JRip_folds,JRip_optimizations,JRip_checkErrorRate,PART_confidenceFactorValue,PART_numFolds"
4,90,0.94060741,0.98991111,0.99582222,0.99814815,0.99900000,0197,0034,0071,0.53262802,"PART,DecisionTable,JRip,J48,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_useIBk,PART_useMDLcorrection,J48_collapseTree,DecisionTable_search,BestFirst_searchTermination,PART_binarySplits,J48_pruning,J48_useLaplace,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_useMDLcorrection,BestFirst_direction,JRip_minNo,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_heuristic,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,SimpleCart_minNumObj,J48_numFolds,JRip_usePruning,J48_minNumObj,JRip_folds,J48_confidenceFactorValue,JRip_optimizations"
5,90,0.95017778,0.99055556,0.99582222,0.99814815,0.99900000,0177,0034,0071,0.53262802,"JRip,PART,DecisionTable,J48,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_collapseTree,DecisionTable_search,GreedyStepwise_searchBackwards,J48_useMDLcorrection,J48_minNumObj,J48_confidenceFactorValue,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,JRip_folds,DecisionTable_crossVal,PART_minNumObj,JRip_minNo,JRip_checkErrorRate,SimpleCart,SimpleCart_usePrune,Aggregator,PART_pruning,PART_useMDLcorrection,SimpleCart_minNumObj,J48_numFolds,JRip_optimizations,DecisionTable_evaluationMeasure,PART_numFolds,PART_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_useOneSE,J48_useLaplace,DecisionTable_useIBk,SimpleCart_numFoldsPruning,BestFirst_searchTermination,J48_binarySplits,J48_subtreeRaising"
6,90,0.95951111,0.98996296,0.99582222,0.99814815,0.99900000,0196,0034,0071,0.53262802,"J48,PART,JRip,DecisionTable,J48_minNumObj,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_binarySplits,J48_useLaplace,DecisionTable_crossVal,PART_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,JRip_minNo,DecisionTable_evaluationMeasure,J48_collapseTree,PART_useMDLcorrection,SimpleCart,SimpleCart_heuristic,Aggregator,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_usePruning,JRip_folds,JRip_optimizations,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
7,90,0.95108148,0.99166667,0.99611852,0.99851852,0.99833333,0193,0165,0061,0.32267856,"DecisionTable,J48,JRip,PART,J48_useLaplace,J48_collapseTree,SimpleCart_useOneSE,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_heuristic,JRip_optimizations,PART_numFolds,J48_confidenceFactorValue,J48_numFolds,JRip_folds,JRip_checkErrorRate,DecisionTable_useIBk,PART_useMDLcorrection,J48_useMDLcorrection,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_pruning,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,J48_doNotMakeSplitPointActualValue,JRip_usePruning,J48_minNumObj,DecisionTable_evaluationMeasure,PART_minNumObj,DecisionTable_crossVal,PART_pruning,SimpleCart,PART_confidenceFactorValue,Aggregator,SimpleCart_minNumObj,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,GreedyStepwise_searchBackwards"
8,90,0.92835556,0.99010370,0.99611852,0.99851852,0.99833333,0153,0034,0061,0.32267856,"PART,J48,DecisionTable,JRip,J48_collapseTree,J48_useLaplace,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_useMDLcorrection,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_useIBk,PART_pruning,PART_numFolds,J48_minNumObj,JRip_usePruning,JRip_optimizations,JRip_folds,DecisionTable_crossVal,PART_minNumObj,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart,SimpleCart_minNumObj,J48_subtreeRaising,SimpleCart_heuristic,Aggregator,GreedyStepwise_conservativeForwardSelection"
9,90,0.92525926,0.99001481,0.99682963,0.99688889,0.99566667,0182,0034,0061,0.32267856,"JRip,J48,PART,J48_useLaplace,DecisionTable,J48_collapseTree,J48_binarySplits,DecisionTable_evaluationMeasure,PART_pruning,PART_numFolds,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_minNumObj,JRip_checkErrorRate,DecisionTable_useIBk,JRip_usePruning,JRip_folds,JRip_optimizations,J48_pruning,PART_binarySplits,J48_numFolds,J48_confidenceFactorValue,J48_useMDLcorrection,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,DecisionTable_crossVal,JRip_minNo,SimpleCart,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48_subtreeRaising,Aggregator"
