individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,null,true,null,null,10,null,true,null,null,false,true,null,true,null,2,false,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,4,true,false,rmse,CompetenceBasedAggregator,null,null,5,2,null,null,null,null,false,null,null,false,null,0.5266666666666667
overall,false,null,true,null,null,8,null,true,null,null,false,true,null,true,null,2,false,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,true,mae,CompetenceBasedAggregator,null,null,6,2,null,null,null,null,true,null,null,true,null,0.5266666666666667
gen_000_ind_000,false,null,null,null,null,9,null,true,null,null,false,true,null,true,9,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,acc,MajorityVotingAggregator,null,null,null,9,2,6,null,null,false,null,null,false,0.6329648526077097,null
gen_000_ind_001,true,confidenceFactor,true,false,null,10,true,true,1,7,true,true,0.25,true,8,4,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,9,true,false,mae,CompetenceBasedAggregator,false,true,3,5,7,null,true,null,null,true,7,null,0.7122590702947845,null
gen_000_ind_002,true,unpruned,true,null,null,1,true,true,1,7,true,true,null,true,6,5,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,7,true,false,auc,MajorityVotingAggregator,false,true,8,5,9,2,true,null,null,false,2,null,0.6909948979591836,null
gen_000_ind_003,true,confidenceFactor,true,true,null,9,true,true,null,null,true,true,0.45,true,1,7,true,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,acc,MajorityVotingAggregator,false,true,2,2,6,null,false,null,true,true,6,true,0.7002154195011336,null
gen_000_ind_004,true,confidenceFactor,true,true,null,8,false,true,2,5,true,true,0.45,true,null,8,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,5,true,true,auc,CompetenceBasedAggregator,true,false,9,7,null,null,false,null,null,false,4,null,0.6747987528344671,null
gen_000_ind_005,true,reducedErrorPruning,true,true,0.15,8,false,true,1,3,true,true,null,true,null,6,true,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,7,true,true,auc,RuleExtractorAggregator,false,true,2,9,null,null,true,7,null,true,7,null,0.6421456916099774,null
gen_000_ind_006,true,unpruned,true,null,null,3,false,true,1,10,true,true,null,true,1,10,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,7,true,true,auc,MajorityVotingAggregator,false,false,6,9,2,7,false,null,null,true,3,null,0.7145890022675737,null
gen_000_ind_007,false,null,true,null,null,2,null,true,1,10,false,true,null,true,2,2,false,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,8,true,true,rmse,RuleExtractorAggregator,null,null,2,4,2,5,null,null,null,null,null,null,0.6719954648526077,null
