individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,confidenceFactor,true,false,null,7,false,true,1,4,true,true,0.45,true,4,9,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,7,false,true,auc,MajorityVotingAggregator,true,false,2,3,8,null,true,null,null,false,8,null,null,0.9672109090909092
overall,true,confidenceFactor,true,false,null,7,false,true,1,4,true,true,0.45,true,4,9,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,7,false,true,auc,MajorityVotingAggregator,true,false,2,3,8,null,true,null,null,false,8,null,null,0.9672109090909092
gen_000_ind_000,false,confidenceFactor,false,false,null,null,false,true,null,null,true,false,0.35,true,3,5,null,unpruned,null,true,true,null,true,true,null,true,true,null,CompetenceBasedAggregator,true,true,4,8,6,null,false,null,null,true,10,null,0.9965520808080809,null
gen_000_ind_001,false,confidenceFactor,true,false,null,null,false,true,null,null,true,false,0.05,true,null,10,false,reducedErrorPruning,null,false,false,null,false,true,6,true,false,null,CompetenceBasedAggregator,true,true,4,4,null,3,false,null,null,false,3,null,0.9963251717171717,null
gen_000_ind_002,false,unpruned,true,null,0.35,10,true,true,2,10,true,true,null,true,4,8,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,5,false,true,auc,CompetenceBasedAggregator,false,true,6,9,5,null,false,null,null,true,7,null,0.9970411313131315,null
gen_000_ind_003,true,reducedErrorPruning,false,true,0.15,1,true,true,null,null,true,true,null,true,null,10,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,true,true,10,3,null,null,true,3,true,false,8,true,0.9966052525252526,null
gen_000_ind_004,true,null,false,null,null,null,null,true,null,null,false,false,null,true,null,10,null,unpruned,null,false,true,null,false,true,null,true,false,null,RuleExtractorAggregator,null,null,10,6,null,null,null,null,null,null,null,null,0.981905292929293,null
gen_000_ind_005,true,reducedErrorPruning,true,false,null,1,true,true,null,null,true,true,null,true,2,7,false,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,rmse,CompetenceBasedAggregator,false,true,6,6,4,null,true,8,false,true,4,true,0.9959521616161618,null
gen_000_ind_006,false,confidenceFactor,true,false,null,4,false,true,2,1,true,true,0.25,true,null,6,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,8,true,false,auc,MajorityVotingAggregator,false,true,4,4,null,3,false,null,null,false,7,null,0.99728597979798,null
gen_000_ind_007,true,confidenceFactor,true,false,null,null,false,true,null,null,true,false,0.25,true,null,10,true,reducedErrorPruning,null,false,true,null,false,true,5,false,false,null,RuleExtractorAggregator,false,false,6,9,null,4,true,null,null,true,7,null,0.9752234343434344,null
gen_000_ind_008,false,confidenceFactor,false,false,null,10,true,true,1,1,true,true,0.45,true,3,2,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,MajorityVotingAggregator,false,false,4,8,4,null,false,null,null,true,7,null,0.9975347070707071,null
gen_000_ind_009,true,reducedErrorPruning,true,true,0.25,null,false,true,null,null,true,false,null,true,1,2,true,confidenceFactor,null,true,true,null,false,true,8,false,false,null,CompetenceBasedAggregator,false,true,2,6,3,null,false,10,null,false,10,null,0.99622901010101,null
gen_000_ind_010,true,confidenceFactor,true,true,null,7,true,true,null,null,true,true,0.45,true,null,9,false,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,auc,MajorityVotingAggregator,false,false,2,8,null,null,true,null,false,true,8,true,0.9965401212121211,null
gen_000_ind_011,true,reducedErrorPruning,null,false,null,7,false,true,0,5,true,true,null,false,2,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,auc,CompetenceBasedAggregator,false,true,null,4,3,null,true,9,null,false,4,null,0.993867797979798,null
gen_000_ind_012,false,confidenceFactor,true,true,null,4,true,true,null,null,true,true,0.25,true,10,10,true,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,7,false,false,auc,RuleExtractorAggregator,false,false,2,9,9,3,true,null,false,true,5,false,0.9722540606060607,null
gen_000_ind_013,true,unpruned,false,null,0.05,9,false,true,null,null,true,true,null,true,5,4,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,rmse,CompetenceBasedAggregator,true,false,4,3,9,null,false,null,true,false,8,false,0.9973819797979798,null
gen_000_ind_014,false,confidenceFactor,false,true,null,7,true,true,null,null,true,true,0.45,true,4,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,true,false,7,4,9,10,true,null,false,false,2,true,0.9969596767676767,null
gen_000_ind_015,true,unpruned,false,null,null,9,false,true,0,4,true,true,null,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,RuleExtractorAggregator,false,true,9,3,null,null,false,null,null,true,4,null,0.9761907070707071,null
gen_000_ind_016,false,unpruned,true,null,0.05,9,true,true,1,1,true,true,null,true,2,8,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,7,true,false,acc,MajorityVotingAggregator,false,true,9,7,7,null,true,null,null,true,4,null,0.9970991515151514,null
gen_000_ind_017,true,confidenceFactor,null,true,null,2,true,true,2,1,true,true,0.45,true,null,6,null,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,false,null,null,true,mae,CompetenceBasedAggregator,false,false,null,7,null,5,true,null,null,true,5,null,0.9955723636363636,null
gen_000_ind_018,false,reducedErrorPruning,false,true,null,3,true,true,1,4,true,true,null,true,2,10,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,MajorityVotingAggregator,false,false,9,6,3,8,false,10,null,false,5,null,0.996235797979798,null
gen_000_ind_019,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.15,true,null,2,null,reducedErrorPruning,null,false,true,null,false,true,null,false,false,null,CompetenceBasedAggregator,true,false,2,7,null,10,false,null,null,true,5,null,0.9961921616161616,null
gen_000_ind_020,true,confidenceFactor,true,false,0.45,null,true,true,null,null,true,false,0.25,true,null,4,true,confidenceFactor,null,false,true,null,false,true,5,true,false,null,CompetenceBasedAggregator,false,true,9,2,null,null,true,null,null,true,9,null,0.9967628282828283,null
gen_000_ind_021,false,confidenceFactor,false,true,0.25,5,false,true,1,1,true,true,0.25,true,9,8,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,true,true,8,6,3,null,false,null,null,false,7,null,0.9972137373737373,null
gen_000_ind_022,true,reducedErrorPruning,false,false,0.05,6,false,true,0,5,true,true,null,true,5,2,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,RuleExtractorAggregator,false,true,5,2,8,null,true,10,null,false,9,null,0.9726180202020203,null
gen_000_ind_023,false,reducedErrorPruning,false,false,0.15,1,false,true,2,5,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,acc,MajorityVotingAggregator,true,false,2,3,null,null,false,2,null,true,9,null,0.9970852525252525,null
