gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.88714695,0.99950979,0.99976796,0.99916654,1.00000000,0234,0034,0035,0.00000000,"J48,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip,J48_binarySplits,SimpleCart,J48_pruning,J48_confidenceFactorValue,DecisionTable,PART,J48_useLaplace,DecisionTable_useIBk,J48_collapseTree,Aggregator,JRip_usePruning,DecisionTable_evaluationMeasure,PART_binarySplits,PART_pruning,DecisionTable_search,DecisionTable_crossVal,J48_numFolds,GreedyStepwise_searchBackwards,JRip_checkErrorRate,JRip_folds,JRip_optimizations,SimpleCart_minNumObj,SimpleCart_heuristic,J48_subtreeRaising,JRip_minNo,PART_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds,PART_useMDLcorrection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
1,90,0.86167383,0.99928069,0.99976796,0.99916654,1.00000000,0222,0034,0035,0.00000000,"JRip,JRip_checkErrorRate,J48,J48_pruning,PART,J48_doNotMakeSplitPointActualValue,DecisionTable,Aggregator,J48_subtreeRaising,DecisionTable_useIBk,PART_useMDLcorrection,J48_useLaplace,DecisionTable_search,DecisionTable_crossVal,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,SimpleCart,PART_binarySplits,JRip_minNo,JRip_usePruning,J48_numFolds,J48_collapseTree,PART_pruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_confidenceFactorValue,J48_binarySplits,BestFirst_searchTermination,JRip_folds,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,BestFirst_direction,PART_numFolds,SimpleCart_heuristic,JRip_optimizations,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
2,90,0.86724716,0.99950705,0.99976796,0.99916654,1.00000000,0228,0034,0035,0.00000000,"Aggregator,J48,J48_pruning,DecisionTable,DecisionTable_useIBk,J48_numFolds,SimpleCart,PART,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_binarySplits,DecisionTable_crossVal,JRip,SimpleCart_usePrune,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_useMDLcorrection,J48_subtreeRaising,DecisionTable_search,J48_useLaplace,PART_minNumObj,J48_confidenceFactorValue,J48_collapseTree,SimpleCart_minNumObj,J48_useMDLcorrection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_usePruning,JRip_minNo,BestFirst_direction,JRip_optimizations,JRip_folds"
3,90,0.85064182,0.99949128,0.99980825,0.99991278,0.99994047,0212,0034,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_minNumObj,DecisionTable,JRip,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,SimpleCart_heuristic,BestFirst_searchTermination,JRip_minNo,SimpleCart_usePrune,SimpleCart_useOneSE,PART,J48,DecisionTable_useIBk,PART_useMDLcorrection,PART_pruning,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_binarySplits,J48_collapseTree,SimpleCart_numFoldsPruning,PART_numFolds,JRip_optimizations,JRip_folds,J48_useMDLcorrection,J48_useLaplace,J48_pruning,JRip_checkErrorRate,BestFirst_direction,GreedyStepwise_searchBackwards,J48_subtreeRaising,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_minNumObj,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_numFolds"
4,90,0.86856633,0.99946218,0.99980825,0.99991278,0.99994047,0248,0034,0073,0.51257349,"SimpleCart,JRip,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_checkErrorRate,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_minNo,SimpleCart_useOneSE,JRip_usePruning,JRip_optimizations,JRip_folds,J48,J48_useLaplace,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART,PART_pruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_collapseTree,PART_useMDLcorrection,PART_minNumObj,PART_confidenceFactorValue,PART_binarySplits,DecisionTable,J48_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards,Aggregator"
5,90,0.80707666,0.99952179,0.99987380,0.99994409,1.00000000,0278,0151,0073,0.51257349,"JRip,SimpleCart,JRip_usePruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_minNumObj,JRip_minNo,GreedyStepwise_searchBackwards,J48_numFolds,J48_confidenceFactorValue,PART,PART_pruning,PART_numFolds,DecisionTable_useIBk,J48_useLaplace,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_collapseTree,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48,JRip_checkErrorRate,Aggregator,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_minNumObj,PART_confidenceFactorValue,J48_pruning,J48_binarySplits,SimpleCart_heuristic,PART_binarySplits,J48_useMDLcorrection,PART_useMDLcorrection,JRip_folds,DecisionTable,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_useOneSE"
6,90,0.84391593,0.99956730,0.99987203,0.99936396,0.99995900,0240,0118,0073,0.51257349,"SimpleCart,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,SimpleCart_usePrune,J48_useLaplace,J48_numFolds,SimpleCart_useOneSE,JRip_minNo,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_heuristic,DecisionTable_crossVal,J48_confidenceFactorValue,PART,PART_pruning,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,GreedyStepwise_searchBackwards,J48_subtreeRaising,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48,Aggregator,DecisionTable_useIBk,J48_binarySplits,PART_minNumObj,J48_pruning,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable,J48_useMDLcorrection,PART_useMDLcorrection,J48_minNumObj,DecisionTable_search,PART_binarySplits,GreedyStepwise_conservativeForwardSelection"
7,90,0.83641557,0.99949925,0.99987203,0.99936396,0.99995900,0243,0034,0064,0.55338804,"J48,JRip,JRip_usePruning,JRip_checkErrorRate,J48_collapseTree,JRip_folds,Aggregator,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_minNumObj,J48_useMDLcorrection,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,GreedyStepwise_searchBackwards,DecisionTable_crossVal,BestFirst_searchTermination,BestFirst_direction,SimpleCart,SimpleCart_minNumObj,J48_useLaplace,SimpleCart_usePrune,PART,PART_useMDLcorrection,SimpleCart_heuristic,SimpleCart_useOneSE,PART_pruning,PART_numFolds,SimpleCart_numFoldsPruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_binarySplits,PART_binarySplits"
8,90,0.83604930,0.99957592,0.99987203,0.99936396,0.99995900,0236,0066,0064,0.55338804,"JRip,J48,JRip_checkErrorRate,JRip_usePruning,J48_useLaplace,JRip_optimizations,J48_doNotMakeSplitPointActualValue,JRip_minNo,DecisionTable,DecisionTable_useIBk,J48_minNumObj,J48_useMDLcorrection,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,BestFirst_searchTermination,SimpleCart,SimpleCart_minNumObj,BestFirst_direction,JRip_folds,J48_collapseTree,J48_pruning,Aggregator,J48_subtreeRaising,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,J48_numFolds,SimpleCart_useOneSE,PART_useMDLcorrection,SimpleCart_heuristic,SimpleCart_numFoldsPruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,PART_pruning,PART_numFolds,J48_binarySplits,PART_binarySplits,SimpleCart_usePrune,PART"
9,90,0.83526025,0.99960695,0.99985600,0.99927924,0.99996435,0233,0034,0064,0.55338804,"JRip,JRip_usePruning,J48,JRip_checkErrorRate,J48_useMDLcorrection,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_binarySplits,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_minNo,J48_minNumObj,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,DecisionTable_crossVal,BestFirst_direction,BestFirst_searchTermination,SimpleCart,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,Aggregator,SimpleCart_heuristic,SimpleCart_usePrune,PART,PART_useMDLcorrection,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_minNumObj,PART_numFolds"
