individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,null,true,null,0.25,3,null,true,null,null,false,true,null,true,null,2,false,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,true,true,3,true,false,auc,MajorityVotingAggregator,null,null,9,5,null,null,null,null,false,null,null,false,null,0.9434824434824435
overall,true,null,false,null,0.25,3,null,true,1,1,false,true,null,true,8,2,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,CompetenceBasedAggregator,null,null,2,5,2,null,null,null,null,null,null,null,null,0.9672919672919673
gen_000_ind_000,false,confidenceFactor,true,true,null,1,false,true,null,null,true,true,0.35,true,2,2,false,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,8,false,false,rmse,RuleExtractorAggregator,true,true,2,2,4,3,true,null,false,true,10,false,0.7636136876164329,null
gen_000_ind_001,null,unpruned,true,null,0.45,null,true,false,null,null,true,false,null,true,null,7,false,confidenceFactor,null,null,true,null,false,true,7,true,false,null,MajorityVotingAggregator,false,true,5,null,null,null,false,null,null,false,10,null,0.9684278990937486,null
gen_000_ind_002,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.15,true,9,5,null,reducedErrorPruning,null,true,true,null,false,true,null,true,false,null,CompetenceBasedAggregator,false,true,8,10,3,7,false,null,null,true,5,null,0.9889200014940774,null
gen_000_ind_003,false,confidenceFactor,true,true,null,4,false,true,null,null,true,true,0.45,true,null,6,false,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,acc,MajorityVotingAggregator,false,false,8,8,null,null,false,null,true,true,7,false,0.9880409283823344,null
gen_000_ind_004,true,unpruned,false,null,null,1,false,true,2,3,true,true,null,false,6,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,mae,CompetenceBasedAggregator,false,true,5,8,9,null,false,null,null,true,5,null,0.9898319489772573,null
gen_000_ind_005,true,confidenceFactor,true,true,0.35,1,true,true,null,null,true,true,0.45,true,null,10,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,7,true,false,acc,MajorityVotingAggregator,false,false,9,5,null,null,false,null,true,true,10,true,0.9859634604699806,null
gen_000_ind_006,null,reducedErrorPruning,true,true,0.25,null,false,false,null,null,true,false,null,true,null,2,false,confidenceFactor,null,null,false,null,true,true,3,true,false,null,CompetenceBasedAggregator,false,false,7,null,null,null,true,7,null,false,8,null,0.9904505296971224,null
gen_000_ind_007,false,confidenceFactor,true,false,0.35,2,true,true,2,3,true,true,0.05,true,null,8,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,true,4,false,true,acc,RuleExtractorAggregator,true,true,4,2,null,null,true,null,null,true,5,null,0.7978116295248368,null
