individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,true,false,0.15,1,false,true,2,9,true,true,null,true,4,2,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,2,true,true,rmse,CompetenceBasedAggregator,true,false,8,10,9,null,false,10,null,true,2,null,null,0.7918990452783817
overall,false,confidenceFactor,null,true,null,null,true,true,null,null,true,false,0.35,true,4,2,null,unpruned,null,true,false,null,false,false,null,null,true,null,CompetenceBasedAggregator,true,false,null,2,5,null,false,null,null,true,2,null,null,0.0
gen_000_ind_000,true,reducedErrorPruning,true,true,null,1,true,true,2,8,true,true,null,true,null,2,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,3,true,true,auc,CompetenceBasedAggregator,false,true,3,5,null,null,true,9,null,false,7,null,0.7590600197843959,null
gen_000_ind_001,null,confidenceFactor,null,true,null,4,false,false,1,8,true,true,0.25,false,null,null,null,null,true,null,null,weka.attributeSelection.BestFirst,null,false,null,null,null,mae,MajorityVotingAggregator,true,true,null,null,null,null,false,null,null,false,8,null,0.7472727660910319,null
gen_000_ind_002,true,confidenceFactor,false,false,0.25,1,false,true,1,5,true,true,0.45,true,1,10,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,CompetenceBasedAggregator,true,true,6,10,5,null,false,null,null,false,6,null,0.7595552622776727,null
gen_000_ind_003,true,unpruned,true,null,0.35,4,true,true,2,5,true,true,null,true,null,2,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,7,true,false,auc,CompetenceBasedAggregator,false,false,10,5,null,null,false,null,null,true,3,null,0.7592954240479253,null
gen_000_ind_004,true,confidenceFactor,true,false,0.15,1,false,true,null,null,true,true,0.05,true,5,7,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,8,true,false,auc,MajorityVotingAggregator,true,true,9,2,7,null,true,null,true,true,2,false,0.7593710191019845,null
gen_000_ind_005,true,reducedErrorPruning,true,true,0.15,1,true,true,null,null,true,true,null,true,null,4,true,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,10,true,false,auc,MajorityVotingAggregator,false,true,7,8,null,null,true,4,true,false,2,false,0.7540116381590549,null
gen_000_ind_006,false,confidenceFactor,true,true,0.15,4,true,true,2,10,true,true,0.25,true,4,9,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,2,true,false,auc,RuleExtractorAggregator,false,true,7,9,5,null,false,null,null,true,2,null,0.722472804363005,null
gen_000_ind_007,false,reducedErrorPruning,true,true,0.35,1,true,true,2,10,true,true,null,true,6,5,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,9,false,false,auc,MajorityVotingAggregator,false,false,3,2,4,null,false,3,null,false,8,null,0.7593626372236055,null
gen_000_ind_008,true,reducedErrorPruning,true,false,null,1,true,true,1,9,true,true,null,true,null,4,true,unpruned,true,false,false,weka.attributeSelection.BestFirst,true,true,8,false,true,acc,RuleExtractorAggregator,false,false,9,8,null,null,true,3,null,false,3,null,0.6928711729015454,null
gen_000_ind_009,true,unpruned,true,null,null,6,false,true,0,6,true,true,null,true,null,3,false,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,5,true,false,auc,MajorityVotingAggregator,false,true,10,3,null,null,false,null,null,true,10,null,0.7590691133316938,null
gen_000_ind_010,true,confidenceFactor,false,false,null,4,false,true,1,10,true,true,0.05,true,2,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,true,false,7,3,3,9,true,null,null,true,2,null,0.759345715318199,null
gen_000_ind_011,false,unpruned,false,null,null,8,false,true,1,9,true,true,null,true,null,5,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,true,true,7,5,null,6,true,null,null,false,5,null,0.7593961647371212,null
gen_000_ind_012,true,confidenceFactor,null,false,0.15,6,false,true,1,6,true,true,0.35,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,false,false,null,5,null,null,false,null,null,false,2,null,0.7473815723613096,null
gen_000_ind_013,false,null,true,null,0.05,9,null,true,2,6,false,true,null,true,10,6,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,false,acc,CompetenceBasedAggregator,null,null,2,6,4,null,null,null,null,null,null,null,0.7595638023047002,null
gen_000_ind_014,true,null,false,null,null,7,null,true,null,null,false,true,null,true,10,4,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,MajorityVotingAggregator,null,null,5,8,2,null,null,null,false,null,null,true,0.7590935472979117,null
gen_000_ind_015,true,unpruned,true,null,null,5,false,true,0,1,true,true,null,true,2,10,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,5,true,false,mae,MajorityVotingAggregator,true,false,2,10,4,4,false,null,null,true,5,null,0.7591522204465644,null
gen_000_ind_016,null,null,null,null,null,10,null,false,2,3,false,true,null,true,null,8,null,reducedErrorPruning,true,null,true,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,RuleExtractorAggregator,null,null,null,null,null,8,null,null,null,null,null,null,0.725146781714537,null
gen_000_ind_017,true,unpruned,false,null,null,6,false,true,null,null,true,true,null,true,7,10,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,mae,MajorityVotingAggregator,false,true,5,8,2,3,false,null,false,false,8,false,0.7592702784127885,null
