individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,confidenceFactor,false,true,null,1,true,true,null,null,true,true,0.35,true,8,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,mae,MajorityVotingAggregator,false,false,7,4,10,3,false,null,false,true,10,false,null,0.8222082985594714
overall,true,confidenceFactor,false,true,null,1,true,true,null,null,true,true,0.35,true,8,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,mae,MajorityVotingAggregator,false,false,7,4,10,3,false,null,false,true,10,false,null,0.8222082985594714
gen_000_ind_000,false,unpruned,false,null,0.35,3,false,true,2,10,true,true,null,true,4,7,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,true,false,7,6,7,null,false,null,null,false,10,null,0.8466322004843395,null
gen_000_ind_001,true,confidenceFactor,false,true,null,1,true,true,null,null,true,true,0.35,true,8,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,mae,MajorityVotingAggregator,false,false,7,4,10,3,false,null,false,true,10,false,0.8543066557046103,null
gen_000_ind_002,false,confidenceFactor,false,false,null,10,false,true,2,3,true,true,0.35,true,2,5,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,MajorityVotingAggregator,true,true,10,8,3,null,true,null,null,true,10,null,0.846124254777408,null
gen_000_ind_003,false,unpruned,true,null,null,1,false,true,null,null,true,true,null,true,1,5,true,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,false,auc,MajorityVotingAggregator,true,false,8,7,3,9,false,null,false,false,4,false,0.8435049435142892,null
gen_000_ind_004,true,unpruned,null,null,null,8,true,true,1,5,true,true,null,true,7,5,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,CompetenceBasedAggregator,true,false,null,3,9,null,false,null,null,false,8,null,0.8449594125595116,null
gen_000_ind_005,false,confidenceFactor,true,true,null,1,true,true,2,10,true,true,0.35,true,3,10,true,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,7,true,false,rmse,MajorityVotingAggregator,false,true,2,7,3,null,true,null,null,false,5,null,0.8523839867915134,null
gen_000_ind_006,true,reducedErrorPruning,false,false,null,3,true,true,2,4,true,true,null,true,null,2,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,false,true,6,2,null,7,false,7,null,false,10,null,0.7067061925985522,null
gen_000_ind_007,true,confidenceFactor,true,true,null,4,false,true,2,5,true,true,0.15,true,4,7,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,false,false,mae,MajorityVotingAggregator,true,false,10,7,3,2,true,null,null,false,7,null,0.8460365530392826,null
