individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,0.15,8,false,true,null,null,true,true,null,true,null,6,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,rmse,MajorityVotingAggregator,true,false,2,6,null,null,false,null,true,false,10,true,null,0.8552520087655223
overall,true,unpruned,false,null,0.15,8,false,true,null,null,true,true,null,true,null,6,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,rmse,MajorityVotingAggregator,true,false,2,6,null,null,false,null,true,false,10,true,null,0.8552520087655223
gen_000_ind_000,true,confidenceFactor,null,false,0.45,2,true,true,null,null,true,true,0.25,true,9,3,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,mae,CompetenceBasedAggregator,false,true,null,10,7,null,true,null,true,true,10,true,0.9802814429108484,null
gen_000_ind_001,true,confidenceFactor,null,true,null,null,true,true,null,null,true,false,0.45,true,7,2,null,reducedErrorPruning,null,true,true,null,true,false,null,null,false,null,RuleExtractorAggregator,true,true,null,4,5,5,true,null,null,true,2,null,0.9704878220557518,null
gen_000_ind_002,null,confidenceFactor,true,true,null,1,false,false,null,null,true,true,0.25,false,null,null,false,null,true,null,null,weka.attributeSelection.GreedyStepwise,null,true,6,true,null,auc,RuleExtractorAggregator,true,true,8,null,null,null,false,null,false,false,10,false,0.8898507639395362,null
gen_000_ind_003,true,unpruned,false,null,null,10,false,true,null,null,true,true,null,true,null,2,null,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,CompetenceBasedAggregator,true,true,7,3,null,6,false,null,false,false,5,true,0.9800096874398229,null
gen_000_ind_004,true,unpruned,true,null,0.45,5,true,true,null,null,true,true,null,true,6,6,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,3,true,false,auc,CompetenceBasedAggregator,false,true,5,2,8,null,true,null,false,false,7,false,0.9778490894473414,null
gen_000_ind_005,false,confidenceFactor,true,true,null,10,true,true,0,9,true,true,0.25,true,null,5,false,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,true,true,7,true,false,acc,CompetenceBasedAggregator,false,true,2,6,null,3,false,null,null,false,8,null,0.9786636123826083,null
gen_000_ind_006,true,confidenceFactor,false,false,0.15,8,true,true,null,null,true,true,0.15,true,null,3,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,MajorityVotingAggregator,true,true,6,8,null,null,true,null,true,false,9,true,0.9807011218033086,null
gen_000_ind_007,true,unpruned,true,null,0.05,10,false,true,1,8,true,true,null,true,null,6,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,8,true,false,auc,RuleExtractorAggregator,false,true,7,3,null,null,false,null,null,false,6,null,0.9759050763097201,null
