individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,false,false,null,9,false,true,1,6,true,true,null,true,4,5,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,mae,MajorityVotingAggregator,false,true,7,7,2,null,true,3,null,true,7,null,null,0.8988867604934331
overall,false,confidenceFactor,false,true,0.45,3,true,true,0,9,true,true,0.15,true,5,7,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,true,true,9,7,3,null,false,null,null,false,8,null,null,0.9140108282118818
gen_000_ind_000,true,confidenceFactor,false,true,null,1,false,true,null,null,true,true,0.45,true,null,10,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,RuleExtractorAggregator,false,false,3,10,null,null,false,null,false,true,9,false,0.9100375301712746,null
gen_000_ind_001,false,confidenceFactor,true,true,null,6,false,true,1,5,true,true,0.35,true,2,9,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,5,false,false,mae,RuleExtractorAggregator,false,true,3,9,3,null,true,null,null,true,10,null,0.8790857073415831,null
gen_000_ind_002,true,reducedErrorPruning,null,true,null,6,false,true,0,5,true,true,null,true,null,9,null,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,true,false,null,null,true,acc,MajorityVotingAggregator,false,false,null,10,null,8,true,4,null,false,4,null,0.9424120722450546,null
gen_000_ind_003,false,confidenceFactor,true,false,null,7,true,true,1,5,true,true,0.15,true,10,3,false,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,6,true,false,auc,CompetenceBasedAggregator,false,true,5,8,2,7,true,null,null,false,2,null,0.9438164180553607,null
gen_000_ind_004,null,confidenceFactor,null,true,0.15,null,false,false,null,null,true,false,0.35,true,null,5,null,confidenceFactor,null,null,true,null,false,false,null,null,false,null,CompetenceBasedAggregator,true,true,null,null,null,null,true,null,null,true,9,null,0.928382843101146,null
gen_000_ind_005,true,reducedErrorPruning,true,true,null,4,true,true,1,4,true,true,null,true,null,3,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,3,false,false,rmse,RuleExtractorAggregator,false,true,2,10,null,2,false,6,null,true,4,null,0.9093845243741525,null
gen_000_ind_006,true,reducedErrorPruning,false,true,0.15,7,true,true,0,7,true,true,null,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,CompetenceBasedAggregator,false,true,8,2,null,null,true,8,null,true,2,null,0.9393791920942667,null
gen_000_ind_007,false,unpruned,true,null,null,4,false,true,null,null,true,true,null,true,7,8,true,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,mae,RuleExtractorAggregator,false,true,10,2,10,6,true,null,false,true,4,true,0.9182678130045996,null
gen_000_ind_008,false,null,true,null,null,3,null,true,2,7,false,true,null,true,8,8,true,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,false,mae,MajorityVotingAggregator,null,null,10,7,7,null,null,null,null,null,null,null,0.9430094039040451,null
gen_000_ind_009,false,unpruned,null,null,null,7,true,true,2,7,true,true,null,true,9,4,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,MajorityVotingAggregator,false,true,null,7,9,null,true,null,null,false,4,null,0.9430565090349047,null
gen_000_ind_010,true,confidenceFactor,true,true,0.25,3,false,true,1,8,true,true,0.05,true,null,5,false,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,9,true,false,auc,MajorityVotingAggregator,true,false,5,7,null,null,true,null,null,true,10,null,0.945322615512481,null
gen_000_ind_011,false,reducedErrorPruning,null,true,null,9,true,true,null,null,true,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,rmse,MajorityVotingAggregator,true,true,null,3,null,null,false,4,false,false,9,false,0.9456134830390142,null
gen_000_ind_012,true,confidenceFactor,null,true,null,3,false,true,null,null,true,true,0.15,true,6,10,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,RuleExtractorAggregator,false,true,null,9,7,null,true,null,true,false,7,false,0.9007525765508756,null
gen_000_ind_013,null,confidenceFactor,true,true,0.25,6,false,false,0,10,true,true,0.35,true,null,9,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,6,true,true,auc,CompetenceBasedAggregator,false,false,5,null,null,null,true,null,null,true,10,null,0.9364342994292645,null
gen_000_ind_014,true,unpruned,false,null,null,10,true,true,1,4,true,true,null,true,null,3,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,false,true,9,2,null,null,true,null,null,false,2,null,0.9464477226696596,null
gen_000_ind_015,false,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,3,10,false,unpruned,null,true,true,null,false,true,9,false,true,null,MajorityVotingAggregator,false,true,7,2,7,null,true,null,null,true,10,null,0.9427072140001276,null
gen_000_ind_016,true,reducedErrorPruning,true,false,null,8,false,true,0,10,true,true,null,true,2,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,5,false,false,mae,RuleExtractorAggregator,false,true,5,4,4,9,true,5,null,true,2,null,0.9008948668734881,null
gen_000_ind_017,true,unpruned,false,null,null,1,false,true,null,null,true,true,null,false,6,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,auc,CompetenceBasedAggregator,false,false,6,3,7,null,true,null,false,true,3,false,0.9404754705475294,null
gen_000_ind_018,false,confidenceFactor,false,true,null,2,false,true,1,7,true,true,0.05,true,2,9,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,false,true,9,6,6,7,false,null,null,false,7,null,0.9479257288365481,null
gen_000_ind_019,true,confidenceFactor,false,true,0.25,null,false,true,null,null,true,false,0.15,true,null,4,null,confidenceFactor,null,false,true,null,false,true,null,true,false,null,RuleExtractorAggregator,false,true,2,5,null,null,true,null,null,false,5,null,0.8946865707209539,null
gen_000_ind_020,false,confidenceFactor,true,true,null,2,true,true,0,1,true,true,0.05,true,null,9,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,9,true,false,auc,CompetenceBasedAggregator,false,false,10,2,null,2,true,null,null,true,6,null,0.9400344866570061,null
gen_000_ind_021,true,unpruned,true,null,0.45,2,false,true,2,10,true,true,null,true,null,2,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,9,false,true,rmse,MajorityVotingAggregator,true,true,3,9,null,null,true,null,null,true,6,null,0.9462735678966816,null
gen_000_ind_022,false,reducedErrorPruning,true,true,0.25,1,true,true,null,null,true,true,null,true,2,9,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,10,true,true,rmse,CompetenceBasedAggregator,false,false,3,7,7,null,true,5,true,false,6,false,0.9443783226746056,null
gen_000_ind_023,true,reducedErrorPruning,true,true,0.25,2,true,true,1,5,true,true,null,true,1,5,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,4,false,false,mae,MajorityVotingAggregator,true,false,3,2,7,null,true,6,null,false,4,null,0.9459539736656344,null
gen_000_ind_024,false,reducedErrorPruning,true,true,null,6,false,true,1,9,true,true,null,true,1,7,true,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,RuleExtractorAggregator,false,true,3,5,2,null,false,5,null,false,6,null,0.9118330783998662,null
gen_000_ind_025,false,confidenceFactor,false,false,0.35,1,true,true,2,9,true,true,0.45,true,null,4,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,RuleExtractorAggregator,false,false,4,6,null,null,true,null,null,false,2,null,0.8933919888341595,null
gen_000_ind_026,true,reducedErrorPruning,false,true,null,null,false,true,null,null,true,false,null,true,null,2,null,reducedErrorPruning,null,false,true,null,false,true,null,true,false,null,MajorityVotingAggregator,true,true,5,5,null,2,true,10,null,false,4,null,0.941480467218819,null
gen_000_ind_027,true,reducedErrorPruning,true,true,0.35,1,true,true,1,9,true,true,null,true,null,10,true,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,3,true,true,auc,CompetenceBasedAggregator,true,false,5,6,null,null,false,8,null,true,4,null,0.9442023504777588,null
gen_000_ind_028,true,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.25,true,10,9,null,unpruned,null,true,false,null,false,true,null,true,false,null,MajorityVotingAggregator,false,false,10,9,6,null,true,null,null,false,3,null,0.9410387494212642,null
gen_000_ind_029,null,reducedErrorPruning,true,true,0.35,10,false,false,2,5,true,true,null,true,null,7,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,2,true,false,rmse,RuleExtractorAggregator,false,false,6,null,null,null,true,3,null,false,8,null,0.8850326767736213,null
gen_000_ind_030,false,unpruned,true,null,0.35,9,false,true,0,9,true,true,null,true,9,4,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,5,false,true,auc,CompetenceBasedAggregator,true,true,7,4,2,null,true,null,null,false,2,null,0.9490811178944358,null
