individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,false,true,null,6,true,true,null,null,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,8,true,null,auc,MajorityVotingAggregator,false,true,2,2,null,null,true,6,false,false,6,true,null,0.9467865467865467
overall,true,reducedErrorPruning,false,true,null,6,true,true,null,null,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,8,true,null,auc,MajorityVotingAggregator,false,true,2,2,null,null,true,6,false,false,6,true,null,0.9467865467865467
gen_000_ind_000,true,reducedErrorPruning,true,false,null,7,false,true,1,7,true,true,null,true,1,3,false,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,9,true,true,rmse,CompetenceBasedAggregator,true,true,7,8,2,10,false,4,null,false,2,null,0.9837443136626144,null
gen_000_ind_001,false,confidenceFactor,null,true,null,1,false,true,null,null,true,true,0.35,true,null,8,null,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,acc,MajorityVotingAggregator,true,true,null,4,null,null,false,null,false,true,2,true,0.9882721000858256,null
gen_000_ind_002,false,confidenceFactor,false,true,null,1,false,true,1,5,true,true,0.25,true,10,5,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,MajorityVotingAggregator,false,false,2,7,10,7,false,null,null,false,4,null,0.9841233137474967,null
gen_000_ind_003,true,confidenceFactor,true,false,null,1,true,true,null,null,true,true,0.45,true,6,10,true,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,4,true,false,mae,CompetenceBasedAggregator,false,true,2,2,5,3,true,null,false,false,6,false,0.9848301368807905,null
gen_000_ind_004,null,reducedErrorPruning,true,true,null,4,false,false,1,5,true,true,null,true,null,3,true,reducedErrorPruning,false,null,false,weka.attributeSelection.BestFirst,true,true,4,true,false,mae,RuleExtractorAggregator,false,true,5,null,null,5,false,8,null,true,2,null,0.9544606035455709,null
gen_000_ind_005,null,confidenceFactor,null,true,null,3,false,false,null,null,true,true,0.15,true,null,10,null,unpruned,false,null,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,auc,RuleExtractorAggregator,false,true,null,null,null,null,false,null,false,true,8,false,0.9559910967754106,null
gen_000_ind_006,false,confidenceFactor,false,false,null,1,false,true,null,null,true,true,0.45,true,null,6,null,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,MajorityVotingAggregator,true,true,4,7,null,3,false,null,false,false,2,true,0.9894748134944213,null
gen_000_ind_007,true,unpruned,null,null,null,9,true,true,1,5,true,true,null,true,null,4,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,false,null,null,false,acc,CompetenceBasedAggregator,false,true,null,2,null,7,false,null,null,true,2,null,0.9912028509495829,null
gen_000_ind_008,false,confidenceFactor,false,true,null,1,false,true,null,null,true,true,0.35,true,null,7,null,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,acc,CompetenceBasedAggregator,true,true,10,2,null,10,true,null,true,false,2,false,0.9822839545470264,null
gen_000_ind_009,false,reducedErrorPruning,true,false,0.25,2,true,true,null,null,true,true,null,true,null,9,false,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,acc,CompetenceBasedAggregator,false,false,6,9,null,null,true,6,true,false,6,false,0.980239659275607,null
gen_000_ind_010,true,null,null,null,0.45,10,null,true,1,7,false,true,null,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,false,mae,MajorityVotingAggregator,null,null,null,2,null,null,null,null,null,null,null,null,0.9872648402795463,null
gen_000_ind_011,false,confidenceFactor,false,false,null,4,true,true,1,10,true,true,0.05,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,MajorityVotingAggregator,true,true,7,8,null,null,true,null,null,false,3,null,0.9882482819165826,null
gen_000_ind_012,true,unpruned,true,null,null,1,true,true,null,null,true,true,null,true,4,9,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,2,true,true,auc,CompetenceBasedAggregator,false,false,4,3,3,null,true,null,false,true,10,false,0.9845795804292538,null
