individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,null,null,null,8,false,true,2,3,true,true,null,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,false,null,10,null,null,false,null,null,false,7,null,null,0.0
overall,true,unpruned,false,null,null,8,true,true,1,7,true,true,null,true,9,3,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,false,true,6,10,8,null,true,null,null,true,5,null,null,0.9193840579710145
gen_000_ind_000,false,unpruned,true,null,0.15,6,true,true,1,7,true,true,null,true,9,2,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,10,true,false,acc,RuleExtractorAggregator,true,false,3,7,3,null,true,null,null,false,2,null,0.9907928114449854,null
gen_000_ind_001,false,confidenceFactor,true,false,0.35,9,false,true,null,null,true,true,0.15,true,10,2,true,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,auc,MajorityVotingAggregator,false,false,4,2,5,null,false,null,false,false,9,true,0.9853189747641402,null
gen_000_ind_002,false,confidenceFactor,false,false,0.45,5,false,true,2,5,true,true,0.15,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,rmse,RuleExtractorAggregator,false,true,10,4,null,null,true,null,null,false,4,null,0.9893869873396156,null
gen_000_ind_003,true,reducedErrorPruning,true,false,0.25,1,false,true,1,5,true,true,null,true,null,2,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,MajorityVotingAggregator,true,true,7,6,null,null,false,10,null,false,8,null,0.9881980668904744,null
gen_000_ind_004,true,unpruned,true,null,0.05,1,false,true,1,4,true,true,null,true,6,7,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,true,acc,CompetenceBasedAggregator,true,false,7,6,7,null,false,null,null,true,8,null,0.9909143555347321,null
gen_000_ind_005,false,confidenceFactor,false,false,0.45,6,true,true,0,1,true,true,0.25,true,10,9,null,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,true,2,8,8,null,true,null,null,true,7,null,0.984268135290199,null
gen_000_ind_006,true,unpruned,true,null,0.15,null,false,true,null,null,true,false,null,true,null,2,true,confidenceFactor,null,false,true,null,false,true,6,false,false,null,MajorityVotingAggregator,true,false,3,2,null,null,true,null,null,false,7,null,0.9849451407465685,null
gen_000_ind_007,true,confidenceFactor,null,false,null,3,false,true,null,null,true,true,0.35,true,8,9,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,rmse,MajorityVotingAggregator,false,true,null,6,3,null,false,null,false,true,4,true,0.9889486863335014,null
gen_000_ind_008,true,confidenceFactor,true,false,null,10,true,true,2,9,true,true,0.35,true,2,4,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,mae,MajorityVotingAggregator,true,true,8,3,10,4,true,null,null,true,4,null,0.9871628432919802,null
gen_000_ind_009,false,reducedErrorPruning,false,false,null,3,false,true,null,null,true,true,null,false,8,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,auc,RuleExtractorAggregator,true,false,7,6,8,null,true,3,true,false,7,false,0.9815757172765608,null
gen_000_ind_010,true,unpruned,true,null,null,10,true,true,1,2,true,true,null,true,4,2,false,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,10,false,false,auc,CompetenceBasedAggregator,true,false,10,2,3,10,true,null,null,true,9,null,0.9879768597743939,null
gen_000_ind_011,true,confidenceFactor,null,true,null,9,false,true,null,null,true,true,0.05,false,2,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,mae,CompetenceBasedAggregator,false,true,null,6,4,null,false,null,false,false,10,false,0.9840762111884761,null
gen_000_ind_012,false,confidenceFactor,true,true,null,3,false,true,1,7,true,true,0.35,false,null,null,false,null,true,false,null,weka.attributeSelection.BestFirst,null,true,8,true,null,mae,MajorityVotingAggregator,false,false,4,2,null,null,false,null,null,true,2,null,0.987191679952874,null
gen_000_ind_013,false,reducedErrorPruning,true,false,null,9,false,true,1,4,true,true,null,true,null,3,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,2,false,true,rmse,RuleExtractorAggregator,false,false,6,4,null,6,false,10,null,false,2,null,0.9835092485644076,null
gen_000_ind_014,true,reducedErrorPruning,false,true,null,10,true,true,null,null,true,true,null,true,6,5,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,rmse,MajorityVotingAggregator,true,true,2,10,6,null,true,3,false,true,4,true,0.9881510025831893,null
gen_000_ind_015,true,confidenceFactor,false,false,0.05,8,false,true,1,8,true,true,0.25,true,4,10,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,acc,CompetenceBasedAggregator,true,false,2,7,8,null,true,null,null,false,3,null,0.9892399755832593,null
gen_000_ind_016,true,reducedErrorPruning,true,true,null,7,true,true,null,null,true,true,null,true,null,10,false,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,auc,RuleExtractorAggregator,false,true,2,5,null,3,true,8,false,false,4,false,0.9815910357376938,null
gen_000_ind_017,true,null,null,null,null,1,null,true,1,1,false,true,null,true,2,5,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,CompetenceBasedAggregator,null,null,null,4,8,8,null,null,null,null,null,null,0.9894134015354001,null
gen_000_ind_018,true,confidenceFactor,true,true,null,null,false,true,null,null,true,false,0.25,true,null,6,false,unpruned,null,false,true,null,false,true,5,true,false,null,MajorityVotingAggregator,false,false,10,6,null,null,true,null,null,false,6,null,0.9861127345942402,null
gen_000_ind_019,false,null,false,null,null,6,null,true,null,null,false,true,null,true,null,9,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,rmse,MajorityVotingAggregator,null,null,9,4,null,null,null,null,true,null,null,true,0.9900891482007641,null
gen_000_ind_020,false,reducedErrorPruning,null,false,0.05,2,false,true,2,6,true,true,null,true,5,5,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,true,rmse,MajorityVotingAggregator,false,true,null,8,7,null,false,5,null,false,2,null,0.989037604861745,null
gen_000_ind_021,true,unpruned,true,null,null,8,true,true,null,null,true,true,null,true,1,6,false,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,7,true,true,auc,MajorityVotingAggregator,false,true,2,6,9,7,true,null,false,true,2,false,0.9870665631794768,null
gen_000_ind_022,true,confidenceFactor,false,true,0.35,5,false,true,null,null,true,true,0.45,true,null,10,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,true,true,8,10,null,null,false,null,false,true,7,false,0.9836165028475217,null
gen_000_ind_023,false,unpruned,true,null,0.05,2,false,true,0,5,true,true,null,true,7,5,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,2,true,false,auc,CompetenceBasedAggregator,false,true,7,4,2,null,true,null,null,false,2,null,0.9903697880693338,null
gen_000_ind_024,false,confidenceFactor,true,false,null,null,true,true,null,null,true,false,0.15,true,3,2,false,reducedErrorPruning,null,true,false,null,false,true,8,true,false,null,MajorityVotingAggregator,false,false,2,7,10,10,false,null,null,true,7,null,0.9829550056221048,null
gen_000_ind_025,true,reducedErrorPruning,false,false,null,10,true,true,0,7,true,true,null,true,10,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,CompetenceBasedAggregator,false,false,3,6,3,3,true,3,null,true,2,null,0.9872847530018198,null
gen_000_ind_026,true,unpruned,false,null,null,10,false,true,0,5,true,true,null,true,2,7,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,false,false,8,10,3,null,true,null,null,true,6,null,0.9891406911685952,null
gen_000_ind_027,true,unpruned,true,null,null,6,true,true,1,2,true,true,null,false,2,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,5,false,null,mae,CompetenceBasedAggregator,false,false,9,10,3,null,true,null,null,false,10,null,0.9886299268583499,null
gen_000_ind_028,false,unpruned,false,null,0.15,6,true,true,2,10,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,MajorityVotingAggregator,true,false,8,2,null,null,true,null,null,true,8,null,0.990865545716292,null
gen_000_ind_029,true,confidenceFactor,true,false,null,null,true,true,null,null,true,false,0.25,true,null,10,false,reducedErrorPruning,null,false,true,null,false,true,9,false,false,null,MajorityVotingAggregator,false,true,3,4,null,5,false,null,null,true,2,null,0.9820956299768759,null
gen_000_ind_030,true,unpruned,false,null,null,5,false,true,1,2,true,true,null,true,9,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,RuleExtractorAggregator,false,false,9,5,2,2,true,null,null,true,7,null,0.9867703482661302,null
gen_000_ind_031,true,confidenceFactor,null,false,null,null,true,true,null,null,true,false,0.05,true,7,10,null,unpruned,null,true,true,null,false,false,null,null,false,null,RuleExtractorAggregator,true,true,null,2,5,null,true,null,null,false,2,null,0.9852100153365566,null
gen_000_ind_032,false,confidenceFactor,false,false,0.45,1,false,true,null,null,true,true,0.15,true,null,4,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,CompetenceBasedAggregator,false,true,6,9,null,null,true,null,false,false,5,true,0.990703189051664,null
gen_000_ind_033,false,confidenceFactor,null,true,null,4,false,true,0,10,true,true,0.45,true,4,7,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,false,acc,RuleExtractorAggregator,true,true,null,8,9,null,false,null,null,false,2,null,0.9756537700210639,null
