gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.97027689,0.98738404,0.99245563,0.99355878,0.98097826,0019,0034,0035,0.00000000,"SimpleCart,Aggregator,PART,J48,SimpleCart_minNumObj,DecisionTable,PART_useMDLcorrection,JRip,DecisionTable_crossVal,PART_binarySplits,J48_collapseTree,J48_pruning,DecisionTable_search,JRip_usePruning,J48_useLaplace,PART_minNumObj,PART_pruning,SimpleCart_usePrune,DecisionTable_useIBk,J48_binarySplits,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useMDLcorrection,JRip_optimizations,J48_confidenceFactorValue,J48_subtreeRaising,BestFirst_direction,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_numFolds,BestFirst_searchTermination,JRip_checkErrorRate,JRip_folds,GreedyStepwise_searchBackwards,PART_numFolds"
1,90,0.96806985,0.98716083,0.99288407,0.98429952,0.97826087,0016,0034,0035,0.00000000,"PART,SimpleCart,JRip,SimpleCart_minNumObj,PART_useMDLcorrection,PART_minNumObj,JRip_checkErrorRate,JRip_usePruning,PART_pruning,DecisionTable,DecisionTable_useIBk,PART_binarySplits,Aggregator,SimpleCart_heuristic,DecisionTable_crossVal,JRip_minNo,J48,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_usePrune,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip_optimizations,PART_numFolds,J48_useLaplace,SimpleCart_useOneSE,J48_binarySplits,SimpleCart_numFoldsPruning,J48_pruning,J48_collapseTree,J48_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,J48_subtreeRaising,BestFirst_searchTermination,J48_numFolds,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
2,90,0.97202997,0.98735648,0.99288407,0.98429952,0.97826087,0015,0034,0035,0.00000000,"PART,Aggregator,PART_pruning,PART_confidenceFactorValue,JRip,PART_useMDLcorrection,DecisionTable,PART_minNumObj,J48,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_numFolds,DecisionTable_useIBk,SimpleCart,J48_pruning,DecisionTable_search,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_usePruning,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_useMDLcorrection,SimpleCart_heuristic,BestFirst_direction,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip_minNo,JRip_checkErrorRate,SimpleCart_usePrune,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_numFolds,J48_useLaplace,J48_binarySplits,J48_subtreeRaising,JRip_optimizations,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
3,90,0.93053093,0.98698763,0.99288407,0.98429952,0.97826087,0014,0034,0035,0.00000000,"Aggregator,PART,J48,J48_doNotMakeSplitPointActualValue,JRip,PART_useMDLcorrection,SimpleCart,J48_pruning,J48_subtreeRaising,DecisionTable,JRip_usePruning,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_folds,DecisionTable_evaluationMeasure,J48_minNumObj,J48_collapseTree,J48_binarySplits,DecisionTable_crossVal,PART_minNumObj,JRip_checkErrorRate,SimpleCart_minNumObj,PART_binarySplits,J48_numFolds,PART_confidenceFactorValue,SimpleCart_usePrune,PART_numFolds,JRip_optimizations,J48_useLaplace,JRip_minNo,J48_useMDLcorrection,DecisionTable_search,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_numFoldsPruning,BestFirst_direction,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination"
4,90,0.97240559,0.98803968,0.99306878,0.99355878,0.98007246,0015,0034,0072,0.53536103,"DecisionTable,PART,J48,SimpleCart,J48_useLaplace,PART_binarySplits,J48_minNumObj,DecisionTable_crossVal,J48_collapseTree,SimpleCart_minNumObj,Aggregator,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_minNo,BestFirst_searchTermination,PART_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_usePruning,SimpleCart_heuristic,JRip_folds,PART_useMDLcorrection,JRip_optimizations,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_pruning,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_numFolds,J48_binarySplits,PART_numFolds,PART_confidenceFactorValue,JRip_checkErrorRate,J48_subtreeRaising,J48_useMDLcorrection,J48_confidenceFactorValue"
5,90,0.94358344,0.98858162,0.99360542,0.98389694,0.98414855,0013,0034,0072,0.53536103,"DecisionTable,PART,J48,SimpleCart,PART_binarySplits,J48_minNumObj,DecisionTable_crossVal,J48_collapseTree,PART_pruning,PART_minNumObj,SimpleCart_minNumObj,Aggregator,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_binarySplits,J48_pruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_usePruning,JRip_minNo,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_folds,PART_useMDLcorrection,JRip_checkErrorRate,J48_useLaplace,DecisionTable_useIBk,J48_useMDLcorrection,J48_subtreeRaising,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_search,J48_numFolds,PART_numFolds,SimpleCart_useOneSE"
6,90,0.95420505,0.98821217,0.99360542,0.98389694,0.98414855,0016,0034,0072,0.53536103,"J48,DecisionTable,SimpleCart,PART,SimpleCart_minNumObj,Aggregator,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,PART_useMDLcorrection,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_collapseTree,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,JRip_usePruning,PART_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_minNo,JRip_optimizations,SimpleCart_heuristic,PART_pruning,PART_numFolds,BestFirst_direction,PART_confidenceFactorValue,J48_binarySplits,JRip_checkErrorRate,JRip_folds,DecisionTable_useIBk,J48_useMDLcorrection,J48_subtreeRaising,DecisionTable_crossVal,J48_minNumObj"
7,90,0.96531164,0.98878143,0.99467594,0.98953301,0.98233696,0014,0034,0061,0.54058301,"SimpleCart,DecisionTable,PART,J48,SimpleCart_heuristic,J48_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_minNumObj,PART_useMDLcorrection,J48_useLaplace,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_pruning,J48_confidenceFactorValue,Aggregator,DecisionTable_useIBk,J48_numFolds,J48_subtreeRaising,JRip,JRip_minNo,BestFirst_direction,SimpleCart_usePrune,JRip_checkErrorRate,PART_pruning,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_binarySplits,PART_numFolds,PART_confidenceFactorValue,J48_collapseTree,J48_useMDLcorrection,JRip_usePruning,JRip_folds,JRip_optimizations"
8,90,0.96779487,0.98845571,0.99467594,0.98953301,0.98233696,0015,0034,0061,0.54058301,"DecisionTable,PART,SimpleCart,J48,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_minNumObj,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useLaplace,J48_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_searchBackwards,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip,Aggregator,DecisionTable_useIBk,JRip_minNo,BestFirst_direction,PART_pruning,PART_numFolds,JRip_checkErrorRate,PART_confidenceFactorValue,JRip_folds,JRip_optimizations,J48_useMDLcorrection,J48_collapseTree,JRip_usePruning"
9,90,0.96536898,0.98865306,0.99467594,0.98953301,0.98233696,0015,0034,0061,0.54058301,"DecisionTable,J48,PART,SimpleCart,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_binarySplits,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_crossVal,JRip,Aggregator,DecisionTable_useIBk,JRip_minNo,BestFirst_direction,PART_pruning,JRip_checkErrorRate,PART_confidenceFactorValue,PART_numFolds,JRip_usePruning,JRip_folds,JRip_optimizations,PART_minNumObj,SimpleCart_minNumObj,J48_binarySplits,PART_useMDLcorrection,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection"
