classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
RandomForest,tae,1,1,1,0.604040,0,"bagSizePercent=89;breakTiesRandomly=false;maxDepth=2;numFeatures=0.01 * predictiveAttributes;numIterations=1000;","-P 89 -depth 2 -K <numFeaturesMultiplier>0.1</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,2,0.563131,0,"bagSizePercent=27;breakTiesRandomly=false;maxDepth=10;numFeatures=0.75 * predictiveAttributes;numIterations=1000;","-P 27 -depth 10 -K <numFeaturesMultiplier>0.75</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,3,0.575758,0,"bagSizePercent=32;breakTiesRandomly=false;maxDepth=10;numFeatures=0.95 * predictiveAttributes;numIterations=1000;","-P 32 -depth 10 -K <numFeaturesMultiplier>0.95</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,4,0.574747,0,"bagSizePercent=44;breakTiesRandomly=false;maxDepth=8;numFeatures=0.01 * predictiveAttributes;numIterations=1000;","-P 44 -depth 8 -K <numFeaturesMultiplier>0.1</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,5,0.586869,0,"bagSizePercent=38;breakTiesRandomly=true;maxDepth=0;numFeatures=0.42 * predictiveAttributes;numIterations=1000;","-P 38 -B -K <numFeaturesMultiplier>0.42</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,6,0.487374,0,"bagSizePercent=64;breakTiesRandomly=true;maxDepth=1;numFeatures=0.95 * predictiveAttributes;numIterations=1000;","-P 64 -B -depth 1 -K <numFeaturesMultiplier>0.95</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,7,0.574242,0,"bagSizePercent=89;breakTiesRandomly=true;maxDepth=3;numFeatures=0.24 * predictiveAttributes;numIterations=1000;","-P 89 -B -depth 3 -K <numFeaturesMultiplier>0.24</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,8,0.574242,0,"bagSizePercent=75;breakTiesRandomly=true;maxDepth=6;numFeatures=0.03 * predictiveAttributes;numIterations=1000;","-P 75 -B -depth 6 -K <numFeaturesMultiplier>0.3</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,9,0.592424,0,"bagSizePercent=40;breakTiesRandomly=true;maxDepth=9;numFeatures=0.92 * predictiveAttributes;numIterations=1000;","-P 40 -B -depth 9 -K <numFeaturesMultiplier>0.92</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,10,0.551515,0,"bagSizePercent=64;breakTiesRandomly=false;maxDepth=3;numFeatures=0.07 * predictiveAttributes;numIterations=1000;","-P 64 -depth 3 -K <numFeaturesMultiplier>0.7</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,11,0.580808,0,"bagSizePercent=42;breakTiesRandomly=false;maxDepth=9;numFeatures=0.11 * predictiveAttributes;numIterations=1000;","-P 42 -depth 9 -K <numFeaturesMultiplier>0.11</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,12,0.569697,0,"bagSizePercent=31;breakTiesRandomly=true;maxDepth=7;numFeatures=0.65 * predictiveAttributes;numIterations=1000;","-P 31 -B -depth 7 -K <numFeaturesMultiplier>0.65</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,13,0.581818,0,"bagSizePercent=30;breakTiesRandomly=false;maxDepth=10;numFeatures=0.95 * predictiveAttributes;numIterations=1000;","-P 30 -depth 10 -K <numFeaturesMultiplier>0.95</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,14,0.570202,0,"bagSizePercent=33;breakTiesRandomly=false;maxDepth=5;numFeatures=0.12 * predictiveAttributes;numIterations=1000;","-P 33 -depth 5 -K <numFeaturesMultiplier>0.12</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,15,0.610101,0,"bagSizePercent=78;breakTiesRandomly=true;maxDepth=9;numFeatures=0.02 * predictiveAttributes;numIterations=1000;","-P 78 -B -depth 9 -K <numFeaturesMultiplier>0.2</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,16,0.598990,0,"bagSizePercent=32;breakTiesRandomly=false;maxDepth=10;numFeatures=0.74 * predictiveAttributes;numIterations=1000;","-P 32 -depth 10 -K <numFeaturesMultiplier>0.74</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,17,0.616667,0,"bagSizePercent=67;breakTiesRandomly=false;maxDepth=10;numFeatures=0.2 * predictiveAttributes;numIterations=1000;","-P 67 -depth 10 -K <numFeaturesMultiplier>0.20</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,18,0.560606,0,"bagSizePercent=21;breakTiesRandomly=false;maxDepth=10;numFeatures=0.32 * predictiveAttributes;numIterations=1000;","-P 21 -depth 10 -K <numFeaturesMultiplier>0.32</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,19,0.551515,0,"bagSizePercent=36;breakTiesRandomly=false;maxDepth=3;numFeatures=0.7 * predictiveAttributes;numIterations=1000;","-P 36 -depth 3 -K <numFeaturesMultiplier>0.70</numFeaturesMultiplier> -I 1000 "
RandomForest,tae,1,1,20,0.574242,0,"bagSizePercent=85;breakTiesRandomly=false;maxDepth=6;numFeatures=0.07 * predictiveAttributes;numIterations=1000;","-P 85 -depth 6 -K <numFeaturesMultiplier>0.7</numFeaturesMultiplier> -I 1000 "
