classifier,dataset_name,n_sample,n_fold,n_draw,unweighted_area_under_roc,elapsed time (seconds),characteristics,options
SimpleCart,hayes-roth,1,1,1,0.945767,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 4"
SimpleCart,hayes-roth,1,1,2,0.783069,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=5;SimpleCart_useOneSE=true;","-H -C 1.0 -S 1 -M 6 -N 5 -A"
SimpleCart,hayes-roth,1,1,3,0.783069,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=true;SimpleCart_minNumObj=7;SimpleCart_numFoldsPruning=7;SimpleCart_useOneSE=true;","-C 1.0 -S 1 -M 7 -N 7 -A"
SimpleCart,hayes-roth,1,1,4,0.951190,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=4;SimpleCart_numFoldsPruning=3;SimpleCart_useOneSE=false;","-H -C 1.0 -S 1 -M 4 -N 3"
SimpleCart,hayes-roth,1,1,5,0.951190,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=5;SimpleCart_numFoldsPruning=6;SimpleCart_useOneSE=true;","-H -C 1.0 -S 1 -M 5 -N 6 -A"
SimpleCart,hayes-roth,1,1,6,0.945767,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=7;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 7"
SimpleCart,hayes-roth,1,1,7,0.899471,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=2;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 2"
SimpleCart,hayes-roth,1,1,8,0.500000,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=true;SimpleCart_minNumObj=9;SimpleCart_numFoldsPruning=2;SimpleCart_useOneSE=true;","-C 1.0 -S 1 -M 9 -N 2 -A"
SimpleCart,hayes-roth,1,1,9,0.951190,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=true;SimpleCart_minNumObj=5;SimpleCart_numFoldsPruning=6;SimpleCart_useOneSE=false;","-H -C 1.0 -S 1 -M 5 -N 6"
SimpleCart,hayes-roth,1,1,10,0.945767,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=5;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 5"
SimpleCart,hayes-roth,1,1,11,0.681481,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=8;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 8"
SimpleCart,hayes-roth,1,1,12,0.945767,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=6;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 6"
SimpleCart,hayes-roth,1,1,13,0.500000,0,"SimpleCart_heuristic=true;SimpleCart_usePrune=false;SimpleCart_minNumObj=9;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-U -M 9"
SimpleCart,hayes-roth,1,1,14,0.945767,0,"SimpleCart_heuristic=false;SimpleCart_usePrune=false;SimpleCart_minNumObj=7;SimpleCart_numFoldsPruning=null;SimpleCart_useOneSE=null;","-H -U -M 7"
